#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2022-02-16T09:16:01 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ620cbe9870da	
#INFO	-out.max=1000	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=1000
#-out.add=_RAJ,_DEJ
#-order=I
#-out.src=VIII/1A/3cr
#-nav=cat:VIII/1A&tab:{VIII/1A/3cr}&key:source=VIII/1A/3cr&HTTPPRM:&&-ref=VIZ620cbe9870da&-out.max=1000&-out.form=HTML Table&-out.add=_RAJ,_DEJ&-oc.form=dec&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=3CR&-out=RA1950&-out=DE1950&-out=S178MHz&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=VIII/1A/3cr
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/1A/3cr
#-out=3CR
#-out=RA1950
#-out=DE1950
#-out=S178MHz
#

#RESOURCE=yCat_8001
#Name: VIII/1A
#Title: The 3C and 3CR Catalogues (Edge+ 1959-1962)
#Coosys	B1950:	eq_FK4 B1950
#Table	VIII_1A_3cr:
#Name: VIII/1A/3cr
#Title: The revised 3C catalogue of radio sources (1962)
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	3CR	(A5)	3CR source designation (1)	[ucd=meta.id;meta.main]
#Column	RA1950	(A10)	Right ascension (1950.0)	[ucd=pos.eq.ra;meta.main]
#Column	DE1950	(A8)	Declination (1950.0)	[ucd=pos.eq.dec;meta.main]
#Column	S178MHz	(F7.1)	Flux density at 178MHz	[ucd=phot.flux.density;em.radio.100-200MHz]
_RAJ2000|_DEJ2000|3CR|RA1950|DE1950|S178MHz
#deg|deg| |"h:m:s"|"d:m:s"|Jy
#---------|---------|-----|----------|--------|-------
  1.59482| -0.10499|  2  |00 03 49.0|-00 23.0|   15.0
  4.29387|+79.67766|  6.1|00 14 12.0|+79 24.0|   16.0
  5.10546|+15.66075|  9  |00 17 50.0|+15 23.0|   15.0
  6.40123|+64.12177| 10  |00 22 48.1|+63 50.7|  134.0
  7.48511|+63.67617| 11.1|00 27 06.0|+63 24.0|   11.5
  8.56901|+39.32548| 13  |00 31 35.0|+39 03.0|   10.5
  9.03226|+18.62018| 14  |00 33 30.6|+18 20.7|    9.5
  9.11303|+59.77508| 14.1|00 33 36.0|+59 30.0|   14.0
  9.27713| -1.24165| 15  |00 34 33.0|-01 31.0|   14.5
  9.42581|+13.10822| 16  |00 35 06.0|+12 50.0|   11.5
  9.60567| -1.99190| 17  |00 35 52.0|-02 16.0|   21.0
 10.23011|+33.17422| 19  |00 38 14.0|+32 54.0|    9.0
 10.21163|+10.17426| 18  |00 38 15.0|+09 54.0|   23.0
 10.78791|+52.04040| 20  |00 40 19.9|+51 46.0|   41.0
 11.39686|+68.07319| 21.1|00 42 30.0|+67 48.0|    9.0
 12.74044|+51.21686| 22  |00 48 06.2|+50 56.7|   14.5
 13.98033|+68.48721| 27  |00 52 42.0|+68 13.0|   24.0
 13.96220|+26.40220| 28  |00 53 09.4|+26 07.9|   14.0
 14.40145| -1.31328| 29  |00 55 03.0|-01 35.0|   15.0
 16.86562|+32.39187| 31  |01 04 42.0|+32 07.5|   15.5
 17.21672|+13.33805| 33  |01 06 13.7|+13 04.3|   49.0
 17.50825|+73.16608| 33.1|01 06 24.0|+72 54.0|   12.0
 17.58218|+69.36594| 33.2|01 06 54.0|+69 06.0|    9.0
 17.57646|+31.76753| 34  |01 07 32.4|+31 30.1|   11.0
 18.01838|+49.43690| 35  |01 09 07.1|+49 10.3|   12.5
 19.54208|+45.64623| 36  |01 15 14.0|+45 23.0|    9.5
 21.53401| -1.27379| 40  |01 23 35.0|-01 32.0|   24.0
 21.68700|+33.19428| 41  |01 23 55.3|+32 56.1|   10.0
 22.13024|+29.05849| 42  |01 25 43.8|+28 48.0|   11.5
 22.49976|+23.68448| 43  |01 27 15.2|+23 25.6|   11.5
 22.84575| +6.42884| 44  |01 28 46.4|+06 10.3|   11.0
 23.88520|+37.93855| 46  |01 32 38.0|+37 41.0|    9.5
 24.10372|+20.94811| 47  |01 33 40.9|+20 41.6|   20.0
 24.41896|+33.13417| 48  |01 34 49.1|+32 52.8|   47.0
 25.30312|+14.05237| 49  |01 38 32.0|+13 48.0|   11.5
 27.13599|+53.60525| 52  |01 45 18.3|+53 21.4|   10.0
 28.88284|+43.78961| 54  |01 52 27.7|+43 32.7|   10.0
 29.29948|+28.84860| 55  |01 54 20.4|+28 36.3|   21.0
 31.36455|+64.87216| 58  |02 01 41.0|+64 38.0|   24.0
