taskID,name,field_ra,field_dec,telescopes,duration,quality,beamPattern
190409015,S2248+33,342.1625,33.944444,23456789ABCD,41400,unknown,square_39p1
190409056,M1403+53,210.85,53.401389,23456789ABCD,41400,unknown,square_39p1
190410001,M0155+33,28.829167,33.944444,23456789ABCD,41400,unknown,square_39p1
190411001,S2246+38,341.6,38.808889,23456789ABCD,41400,unknown,square_39p1
190411042,S1415+36,213.970833,36.376667,23456789ABCD,41400,unknown,square_39p1
190412001,M0141+33,25.495833,33.944444,23456789ABCD,41400,bad,square_39p1
190413001,S2250+41,342.670833,41.240833,23456789ABCD,41400,bad,square_39p1
190419137,1530+29,232.5,29.0,23456789ABCD,41400,unknown,square_39p1
190424047,1530+29,232.5,29.0,23456789ABCD,39600,unknown,square_39p1
190428055,LH_WSRT,163.5,57.833333,23456789ABCD,41400,good,square_39p1
190505048,LH_WSRT,163.5,57.833333,23456789ABCD,41400,good,square_39p1
190511013,M31,10.685,41.269167,23456789ABCD,43200,good,square_39p1
190511014,M1403+53,210.85,53.401389,23456789ABCD,43200,good,square_39p1
190601059,LH_GRG,158.75,57.333333,23456789ABD,41400,good,square_39p1
190602049,LH_GRG,158.75,57.333333,23456789ABCD,41400,good,square_39p1
190608061,M1403+53,210.85,53.401389,23456789ABC,41400,good,square_39p1
190609041,M81,148.888333,69.065278,23456789ABC,41400,good,square_39p1
190610081,M81_offset2,160.93,73.566111,23456789ABC,41400,good,square_39p1
190621010,M0141+36,25.4,36.376667,23456789ABCD,41400,bad,square_39p1
190621051,S2323+29,350.933333,29.080278,23456789ABCD,41400,bad,square_39p1
190622041,S1435+33,218.829167,33.944444,23456789ABCD,41400,bad,square_39p1
190629059,S2258+29,344.616667,29.080278,23456789ABCD,41400,good,square_39p1
190630041,S1349+26,207.366667,26.648333,23456789ABCD,41400,good,square_39p1
190701001,M0142+31,25.583333,31.5125,23456789ABCD,37800,good,square_39p1
