Obsid,Beam,c2_good,c1_good,c0_good,c2_ok,c1_ok,c0_ok,all_good,all_ok,all_good_ok,rms_c2,rms_c1,rms_c0,lgfrac_c2,lgfrac_c1,lgfrac_c0,prom_c2,prom_c1,prom_c0
190807041,0,0,0,0,1,1,1,0,1,1,0.0014229787,0.0014954595,0.0015617902,-4.8765125,-4.9194527,-4.8695364,4.2438545,4.237243,4.2686057
190807041,1,0,0,0,0,1,1,0,0,0,0.0019483805,0.0019990697,0.0020391087,-4.339884,-4.815578,-4.76814,4.4481754,4.288106,4.268581
190807041,2,0,0,0,1,1,1,0,1,1,0.0015470425,0.0017062384,0.0018896728,-5.1155562,-5.08416,-5.070336,4.2473226,4.321438,4.2389135
190807041,3,0,0,0,0,0,0,0,0,0,0.0015923912,0.0016488538,0.0016950258,-3.3738062,-3.3388114,-3.3149207,4.3387866,4.3159456,4.318975
190807041,4,0,0,1,1,1,0,0,0,1,0.0014779067,0.0015345657,0.0015743684,-5.223502,-5.2122035,-5.4571347,4.2451916,4.2569695,4.271209
190807041,5,0,1,1,0,0,0,0,0,0,0.0031139115,0.0025430452,0.0025416084,-5.628228,-5.991669,-6.068782,4.301912,4.2256737,4.2106457
190807041,6,0,0,0,0,0,0,0,0,0,0.015684105,0.015714262,0.015555618,-inf,-inf,-inf,3.1850972,3.1790466,3.2110682
190807041,8,0,0,0,1,1,1,0,1,1,0.0017327577,0.00176721,0.0017762658,-5.169144,-5.2344112,-5.2031283,4.2693577,4.2542796,4.295466
190807041,9,0,0,0,0,0,0,0,0,0,0.0014743677,0.0015243815,0.0015743676,-4.1828446,-4.196738,-4.193101,4.2855973,4.253779,4.27925
190807041,10,0,0,0,0,0,0,0,0,0,0.0016659198,0.0017550772,0.0018260789,-3.1858783,-3.1638606,-3.143644,5.2407174,5.3018937,5.3384843
190807041,11,0,0,0,1,1,1,0,1,1,0.0013620182,0.0014755221,0.0015570766,-4.5901117,-4.6601496,-4.780341,4.294551,4.308778,4.3527126
190807041,12,0,0,0,0,0,0,0,0,0,0.028672291,0.028855,0.02886871,-inf,-inf,-inf,1.7375027,1.723585,1.7208049
190807041,13,0,0,0,0,0,0,0,0,0,0.017844804,0.01895768,0.017628253,-inf,-inf,-inf,2.7992103,2.6346054,2.8330388
190807041,14,0,0,0,0,0,0,0,0,0,0.0062827333,0.009462647,0.009778131,-3.8338847,-inf,-inf,5.062505,4.950736,4.808406
190807041,15,1,1,1,0,0,0,1,0,1,0.0017149915,0.0016781248,0.0016142416,-6.0077558,-5.995635,-5.9844613,4.250154,4.228182,4.2571154
190807041,16,0,0,0,0,0,0,0,0,0,0.0013890722,0.0014747825,0.0015390753,-4.008207,-4.0862164,-4.0963974,4.257948,4.2830744,4.389701
190807041,17,0,0,0,0,0,0,0,0,0,0.0020157984,0.0020571642,0.0020933507,-3.1008174,-3.0789149,-3.064357,5.7967606,5.942248,5.9303474
190807041,18,1,1,0,0,0,0,0,0,0,0.0027144777,0.0027904634,0.0030563923,-5.5067225,-5.9361515,-5.908485,4.266846,4.192847,4.1661797
190807041,19,0,0,0,0,0,0,0,0,0,0.01937931,0.016081357,0.010509116,-inf,-inf,-inf,2.577146,3.1064653,4.7546625
190807041,20,0,0,0,0,0,0,0,0,0,0.0045561194,0.0042999564,0.0047265254,-4.2495136,-4.0308957,-4.0607142,4.74555,5.8288126,6.0749464
190807041,21,0,0,0,0,0,0,0,0,0,0.002045528,0.0020387007,0.0020416118,-3.3642282,-3.3387089,-3.324267,4.2938185,4.2516365,4.29717
190807041,23,0,0,0,0,0,0,0,0,0,0.003131127,0.003257059,0.0033873152,-3.1203463,-3.1071627,-3.1371472,6.194785,5.9189024,5.679685
190807041,24,0,0,0,0,0,0,0,0,0,0.0014069446,0.0014823884,0.0015062089,-4.067907,-4.164006,-4.287283,4.2735395,4.229351,4.3035398
190807041,25,0,0,0,1,1,0,0,0,0,0.0015590045,0.0014942783,0.0015226689,-4.521847,-4.624313,-4.302024,4.232171,4.2076836,4.2261324
190807041,26,0,0,0,0,0,0,0,0,0,0.0016306649,0.0016759704,0.0017239855,-3.779312,-3.7964993,-3.8003962,4.176752,4.240053,4.22449
190807041,29,1,1,1,0,0,0,1,0,1,0.0012692737,0.0013260229,0.0013727277,-6.0244617,-6.003678,-6.053542,4.197413,4.2029624,4.197554
190807041,30,0,0,0,0,0,1,0,0,0,0.0013689752,0.0014397714,0.0014756562,-4.416376,-4.4106402,-4.5530972,4.231282,4.284771,4.192655
190807041,31,0,0,0,0,0,0,0,0,0,0.0013868647,0.0014329082,0.0014890213,-4.318732,-4.305683,-4.3127713,4.3039126,4.335458,4.4024773
190807041,32,1,1,1,0,0,0,1,0,1,0.0022288342,0.0023236817,0.0024290588,-5.802613,-5.802613,-5.8301983,4.290756,4.2795854,4.2949276
190807041,33,1,1,1,0,0,0,1,0,1,0.0017984929,0.001813209,0.0018453688,-5.932691,-6.0374265,-6.061095,4.2363515,4.288024,4.222874
190807041,34,1,1,1,0,0,0,1,0,1,0.0014705133,0.0015020262,0.0015078362,-5.93964,-6.04629,-6.038819,4.2509136,4.260019,4.262266
190807041,35,0,0,0,0,0,0,0,0,0,0.0013727143,0.0014101305,0.0014484664,-3.9356308,-3.914202,-3.8716493,4.275126,4.2933087,4.274278
190807041,36,1,1,1,0,0,0,1,0,1,0.0016407154,0.001709218,0.0017928879,-5.983844,-5.828942,-5.81697,4.2427926,4.2657356,4.325856
190807041,37,0,0,0,0,0,0,0,0,0,0.0014586842,0.0015039851,0.0015553919,-3.9480567,-3.931968,-3.9314957,4.3253717,4.3234777,4.345671
190807041,38,1,0,1,0,1,0,0,0,1,0.0016244781,0.001784065,0.0018395787,-5.6231284,-4.883227,-5.7638917,4.3255334,4.5498524,4.315244
190807041,39,1,0,0,0,0,0,0,0,0,0.002434247,0.003065735,0.003548715,-5.9611797,-5.3915877,-5.941909,4.2533507,4.413998,4.260103
