|       name |               hmsdms |                 ra |                  dec | label |
| M0141+3356 | 01h41m59s +33d56m40s |  25.49583333333333 |    33.94444444444444 |     m |
| M0155+3356 | 01h55m19s +33d56m40s |  28.82916666666666 |    33.94444444444444 |     m |
| M0208+3356 | 02h08m39s +33d56m40s | 32.162499999999994 |    33.94444444444444 |     m |
| M0141+3622 | 01h41m36s +36d22m36s |               25.4 |   36.376666666666665 |     m |
| M0155+3622 | 01h55m19s +36d22m36s |  28.82916666666666 |   36.376666666666665 |     m |
| M0209+3622 | 02h09m01s +36d22m36s |  32.25416666666666 |   36.376666666666665 |     m |
| M0142+3130 | 01h42m20s +31d30m45s |  25.58333333333333 |              31.5125 |     m |
| M0155+3130 | 01h55m19s +31d30m45s |  28.82916666666666 |              31.5125 |     m |
| M0208+3130 | 02h08m17s +31d30m45s | 32.070833333333326 |              31.5125 |     m |
| M1243+3130 | 12h43m58s +31d30m45s | 190.99166666666665 |              31.5125 |     m |
| M1256+3130 | 12h56m56s +31d30m45s | 194.23333333333332 |              31.5125 |     m |
| M1309+3130 | 13h09m54s +31d30m45s |            197.475 |              31.5125 |     m |
| M1247+2638 | 12h47m23s +26d38m54s |  191.8458333333333 |   26.648333333333333 |     s |
| M1259+2638 | 12h59m48s +26d38m54s | 194.94999999999996 |   26.648333333333333 |     s |
| M1252+2904 | 12h52m09s +29d04m49s | 193.03749999999997 |   29.080277777777777 |     s |
| M1304+2904 | 13h04m47s +29d04m49s |  196.1958333333333 |   29.080277777777777 |     s |
| M1248+3356 | 12h48m39s +33d56m40s |           192.1625 |    33.94444444444444 |     s |
| M1301+3356 | 13h01m59s +33d56m40s |  195.4958333333333 |    33.94444444444444 |     s |
| M1403+5324 | 14h03m24s +53d24m05s | 210.84999999999997 |    53.40138888888889 |     m |
| S2214+3130 | 22h14m46s +31d30m45s | 333.69166666666666 |              31.5125 |     s |
