taskid,reobserve,reprocess,note
190711169,N,N,"RTC delays bad"
190712041,Y,N,"RTC,RTD and RTB delays bad"
190713001,Y,N,"RTC,RTD and RTB delays bad"
190713042,Y,N,"RTC,RTD and RTB delays bad"
190714041,Y,N,"RTC,RTD and RTB delays bad"
190718124,Y,N,"RTC and RTD delays bad (tuned away)"
190719041,Y,N,"RTD and RTD delays bad (tuned away)"
190719042,Y,N,"RTC and RTD delays bad (tuned away)"
190720041,Y,N,"RTC and RTD delays bad"
190721041,Y,N,"RTC and RTD delays bad"
190722001,Y,N,"RTC and RTD delays bad"
190725041,N,N,"RTD delays bad"
190725042,N,N,"RTD delays bad"
190726041,N,N,"RTD delays bad"
190727041,N,N,"RTD delays bad"
190727042,N,N,"RTD delays bad"
190728041,N,N,"RTD delays bad"
190731125,N,Y,"RTD delays bad; wrong calibrators assigned"
190801041,N,N,"RTD delays bad"
190801042,N,N,"RTD delays bad"
190806345,N,Y,"RTD bad delays tuned away (subband phase slope); leading pol cals not scheduled (use later ones)"
190807041,N,N,"RTD bad delays tuned away (subband phase slope)"
190807042,N,N,"RTD bad delays tuned away (subband phase slope)"
190808041,N,N,"RTD bad delays tuned away (subband phase slope)"
190809041,N,N,"RTD bad delays tuned away (subband phase slope)"
190809042,N,N,"RTD bad delays tuned away (subband phase slope)
190810041,N,N,"RTD bad delays tuned away (subband phase slope)"
190811041,N,N,"RTD bad delays tuned away (subband phase slope)"
190907041,Y,N,"RTC and RTD delays bad"
190907042,Y,N,"RTC and RTD delays bad"
190908041,Y,N,"RTC and RTD delays bad"
191004041,N,N,"RTD bad"
191004042,N,N,"RTD bad"
191005041,N,N,"RTD bad"
191006041,N,N,"RTD bad"
191006058,N,N,"RTD bad"
191103033,N,Y,"Observing failed for 11 beams of polcal"
191103034,N,Y,"Observing failed for 11 beams of polcal"
191207034,N,Y,"autocal failed to find 7 polcals"
191207035,N,Y,"autocal failed to find 7 polcals"
191227014,N,Y,"RT9 not on source"
200427042,N,Y,"RTB not on source"
