taskID,name,field_ra,field_dec,telescopes,duration,quality,beamPattern
190711169,S2152+4114,328.125,41.240833,23456789ABCD,41400,good,square_39p1
190712041,M1403+5324,210.85,53.401389,23456789ABCD,41400,good,square_39p1
190713001,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1
190713042,S2323+2904,350.933333,29.080278,23456789ABCD,41400,good,square_39p1
190714041,S1444+5058,221.0625,50.969167,23456789ABCD,41400,good,square_39p1
190718124,S2146+4340,326.516667,43.673056,23456789ABCD,41400,good,square_39p1
190719041,S1242+5058,190.7,50.969167,23456789ABCD,41400,good,square_39p1
190719042,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1
190720041,S2336+2904,354.091667,29.080278,23456789ABCD,41400,good,square_39p1
190721041,S1426+5058,216.725,50.969167,23456789ABCD,41400,good,square_39p1
190722001,M0208+3130,32.070833,31.5125,23456789ABCD,41400,good,square_39p1
190725041,S1236+6041,189.229167,60.6975,23456789ABCD,41400,good,square_39p1
190725042,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1
190726041,S2319+3130,349.908333,31.5125,23456789ABCD,41400,good,square_39p1
190727041,S1439+5324,219.9625,53.401389,23456789ABCD,41400,good,square_39p1
190727042,M0208+3356,32.1625,33.944444,23456789ABCD,41400,good,square_39p1
190728041,S2258+2904,344.616667,29.080278,23456789ABCD,41400,good,square_39p1
190731125,S2227+3130,336.9375,31.5125,23456789ABCD,41400,good,square_39p1
190801041,S1334+5058,203.7125,50.969167,23456789ABCD,41400,good,square_39p1
190801042,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1
190806345,S2311+2904,347.775,29.080278,23456789ABCD,41400,good,square_39p1
190807041,M1403+5324,210.85,53.401389,23456789ABCD,41400,good,square_39p1
190807042,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1
190808041,S2306+3130,346.666667,31.5125,23456789ABCD,41400,good,square_39p1
190809041,S1421+5324,215.404167,53.401389,23456789ABCD,41400,good,square_39p1
