taskID,name,field_ra,field_dec,telescopes,duration,quality,beamPattern
181005011,JPASS-1,36.25,31.0,all,41400,unknown,square_39p1_8bit_37beams
181005020,3C48_10,24.841417,33.767781,all,41400,unknown,square_39p1_8bit_37beams
181005021,3C286,202.784533,30.509155,all,41400,unknown,hybridXX_20180928_8bit
181005023,Abell262,28.195,36.151389,all,39303,unknown,square_39p1_8bit_37beams
181012016,S1342+5324,205.6725,53.401389,all,41400,unknown,square_39p1_8bit_37beams
181012018,M0152+3608_1,28.21,36.146111,all,41400,unknown,square_39p1_8bit_37beams
181012021,S1419+5324,214.785,53.401389,all,41400,unknown,square_39p1_8bit_37beams
181012023,S0234+3608,38.743333,36.146111,all,41400,unknown,square_39p1_8bit_37beams
181017026,M0152+3608_2,28.21,36.146111,all,43200,unknown,square_39p1_8bit_37beams
181018021,M0152+3608_2,28.21,36.146111,all,43200,unknown,square_39p1_8bit_37beams
181026018,3C48,24.422081,33.159759,all,41400,unknown,square_39p1_8bit_37beams
181026019,3C286_7,202.784533,30.509155,all,41400,unknown,square_39p1_8bit_37beams
181026021,JPASS-Fall,37.75,32.0,all,39863,unknown,square_39p1_8bit_37beams
181026024,JPASS-Spring,215.0,52.0,all,40149,unknown,square_39p1_8bit_37beams
181102012,3C48,24.422081,33.159759,all,41400,unknown,square_39p1_8bit_37beams
181102013,3C286,202.784533,30.509155,all,41400,unknown,ebm_20171214T104900.dat
181102014,3C48_33,24.422081,33.159759,all,41400,unknown,square_39p1_8bit_37beams
181102015,3C286_33,202.784533,30.509155,all,41400,unknown,ebm_20171214T104900.dat
181109011,3C48,24.422081,33.159759,all,41400,unknown,square_39p1_8bit_37beams
181109012,3C286,202.784533,30.509155,all,41400,unknown,ebm_20171214T104900.dat
181109013,3C48_33,24.422081,33.159759,all,41400,unknown,square_39p1_8bit_37beams
181109014,3C286_33,202.784533,30.509155,all,41400,unknown,ebm_20171214T104900.dat
181116061,NGC5033,197.926936,36.796563,all,41400,unknown,square_39p1_8bit_37beams
181123016,Abell262,28.21,36.146111,all,39683,unknown,square_39p1_8bit_37beams
181123018,3C286,202.784533,30.509155,all,39300,unknown,ebm_20171214T104900.dat
181123025,NGC5033,198.50991,36.796563,all,41400,unknown,square_39p1_8bit_37beams
181211022,N0152+3608_20181211,28.245833,36.146111,23456789ABCD,41400,unknown,square_39p1
181214061,LH_WSRT,163.541667,58.021111,2345678ABCD,41400,unknown,square_39p1
181214064,Abell262,28.21,36.146111,2345678ABCD,41400,unknown,square_39p1
181214067,3C286,202.784533,30.509155,2345678ABCD,36000,unknown,central_element_beams_x_37beams
181214068,3C48,24.422081,33.159759,2345678ABCD,36000,unknown,square_39p1
190125077,N2403,114.214167,65.602556,23456789ACD,43082,unknown,square_39p1
190126042,A262,28.21,36.146111,23456789ACD,43093,unknown,square_39p1
190127042,A262,28.21,36.146111,23456789ACD,43094,unknown,square_39p1
190221051,3C286_33,202.784533,30.509155,23456789ABCD,36060,unknown,square_39p1
190302067,A262,28.21,36.146111,2345678BCD,43094,unknown,square_39p1
190303087,A262,28.21,36.146111,2345678BCD,43094,unknown,square_39p1
190309041,A262,28.21,36.146111,23456789ABCD,43093,unknown,square_39p1
190311152,T1509+60,227.408333,60.6975,23456789ABCD,39600,unknown,square_39p1
190315128,T1509+60,227.408333,60.6975,23456789ABCD,41400,unknown,square_39p1
190326001,S2148+31,327.204167,31.5125,23456789ABCD,41400,unknown,square_39p1
190327001,S0001+29,0.408333,29.080278,23456789ABCD,41400,unknown,square_39p1
190327042,M1426+50,216.725,50.969167,23456789ABCD,41400,unknown,square_39p1
190328001,M0208+33,30.9125,33.944444,23456789ABCD,41400,unknown,square_39p1
190329001,S2148+36,327.1125,36.376667,23456789ABCD,41400,unknown,square_39p1
190329042,S1225+50,186.3625,50.969167,23456789ABCD,41400,unknown,square_39p1
190330001,S0003+41,0.85,41.240833,23456789ABCD,41400,unknown,square_39p1
190330042,M1426+50,216.725,50.969167,23456789ABCD,41400,unknown,square_39p1
190331001,S0220+29,35.141667,29.080278,23456789ABCD,41400,unknown,square_39p1
200203046,S2328+3848,352.1875,38.808889,2346789ABCD,41400,bad,square_39p1
200304073,M1256+3130,194.233333,31.5125,23456789ABCD,41400,not_in_alta,square_39p1
200614001,M0141+3356,25.495833,33.944444,23456789ABCD,41400,bad,square_39p1
200628132,S2135+3848,323.954167,38.808889,2345689ABCD,41400,not_in_alta,square_39p1
200816041,S2130+4340,322.729167,43.673056,23456789ACD,41400,bad,square_39p1
