timestamp,target_tid,target_name,cal1_tids,cal1_name,cal2_tids,cal2_name,beams,node,starttime,endtime,runtime,failures
1557522923.018800,190505048,LH_WSRT,190505027-190505018,3C147,190506011-190506020,3C286,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-05-10 21:15:23.110941,,,
1557522924.018900,190505048,LH_WSRT,-,-,-,-,-,happili-02,-,2019-05-10 21:15:23.929893,"1 day, 1:07:30.720903",
1557530128.019200,190505048,LH_WSRT,190505027-190505018,3C147,190506011-190506020,3C286,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-05-10 23:15:27.961025,,,
1557705630.028300,190511013,M31,190510116-190510107,3C286,-,N/A,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-05-13 00:00:29.786177,,,
1557705630.028400,190511013,M31,190511002-190510127,3C286,-,N/A,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-05-13 00:00:30.515830,,,
1557705633.028500,190511013,M31,190511012-190511003,3C286,-,N/A,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-05-13 00:00:33.043578,,,
1557705633.028600,190511013,M31,190510126-190510117,3C286,-,N/A,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-05-13 00:00:33.373151,,,
1557768650.029100,190511013,M31,190510126-190510117,3C286,190512011-190512020,3C147,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-05-13 17:30:49.756659,,,
1557782145.029200,190511013,M31,190511002-190510127,3C286,190512021-190512030,3C147,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-05-13 21:15:44.718265,,,
1557796543.029300,190511013,M31,190511012-190511003,3C286,190512031-190512040,3C147,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-05-14 01:15:42.972585,,,
1557812744.029400,190511013,M31,190510116-190510107,3C286,190512001-190512010,3C147,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-05-14 05:45:43.873766,,,
1557859104.029500,190511013,M31,-,-,-,-,-,happili-02,-,2019-05-14 18:38:22.976954,"1 day, 1:07:30.720903","B013: FAILED on line, B014: FAILED on continuum,line, B016: FAILED on line, B018: FAILED on line, B019: FAILED on line"
1557863285.029800,190511014,M1403+53,190510126-190510117,3C286,190512011-190512020,3C147,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-05-14 19:48:04.971787,,,
1557873239.029900,190511013,M31,-,-,-,-,-,happili-03,-,2019-05-14 22:33:58.341084,"1 day, 1:18:12.561321","B020: FAILED on line, B024: FAILED on line, B025: FAILED on line, B026: FAILED on line, B029: FAILED on line"
1557877813.030200,190511014,M1403+53,190511002-190510127,3C286,190512021-190512030,3C147,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-05-14 23:50:13.472973,,,
1557883363.030300,190511013,M31,-,-,-,-,-,happili-04,-,2019-05-15 01:22:42.392371,"1 day, 0:06:58.274900","B030: FAILED on line, B031: FAILED on line, B032: FAILED on line, B035: FAILED on line, B038: FAILED on line"
1557887464.030600,190511014,M1403+53,190511012-190511003,3C286,190512031-190512040,3C147,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-05-15 02:31:03.820847,,,
1557905076.000100,190511013,M31,-,-,-,-,-,happili-01,-,2019-05-15 07:24:36.455885,"1 day, 1:38:51.941943",
1557911357.000400,190511014,M1403+53,190510116-190510107,3C286,190512001-190512010,3C147,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-05-15 09:09:16.929630,,,
1557960125.000500,190511014,M1403+53,-,-,-,-,-,happili-02,-,2019-05-15 22:42:02.332983,"1 day, 2:53:27.621456","B010: FAILED on continuum, B015: FAILED on line, B018: FAILED on line, B019: FAILED on continuum"
1557967085.000700,190511014,M1403+53,-,-,-,-,-,happili-03,-,2019-05-16 00:38:04.453814,"1 day, 0:47:48.965094","B020: FAILED on line, B024: FAILED on line, B025: FAILED on line, B029: FAILED on continuum,line"
1557977102.000900,190511014,M1403+53,-,-,-,-,-,happili-04,-,2019-05-16 03:25:02.181928,"1 day, 0:53:55.956804","B030: FAILED on line, B031: FAILED on continuum,line, B032: FAILED on scal,continuum,line, B037: FAILED on line, B038: FAILED on line"
1557996876.001300,190511014,M1403+53,-,-,-,-,-,happili-01,-,2019-05-16 08:54:36.503833,23:45:18.087204,"B000: FAILED on continuum, B003: FAILED on continuum, B006: FAILED on scal,continuum, B007: FAILED on scal,continuum,line"
1560079007.011000,190601059,LH_GRG,190601028-190601019,3C147,-,N/A,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-06-09 11:16:46.802097,,,
1560079046.011100,190601059,LH_GRG,190601048-190601039,3C147,-,N/A,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-06-09 11:17:26.643788,,,
1560079047.011200,190601059,LH_GRG,190601058-190601049,3C147,-,N/A,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-06-09 11:17:26.893054,,,
1560079060.011300,190601059,LH_GRG,190601038-190601029,3C147,-,N/A,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-06-09 11:17:40.088307,,,
1560152330.011400,190601059,LH_GRG,-,-,-,-,-,happili-03,-,2019-06-10 07:38:49.954076,20:21:21.474548,B029: FAILED on continuum
1560153912.011600,190601059,LH_GRG,-,-,-,-,-,happili-02,-,2019-06-10 08:05:10.983749,20:47:29.502793,"B013: FAILED on continuum, B014: FAILED on scal,continuum, B017: FAILED on continuum"
1560154081.011800,190601059,LH_GRG,-,-,-,-,-,happili-04,-,2019-06-10 08:08:00.944459,20:50:32.538397,B031: FAILED on continuum
1560158451.012100,190602049,LH_GRG,190602038-190602029,3C147,190603012-190603021,3C286,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-06-10 09:20:51.297701,,,
1560161019.012300,190602049,LH_GRG,190602028-190602019,3C147,190603002-190603011,3C286,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-06-10 10:03:38.763625,,,
1560164222.012500,190602049,LH_GRG,190602048-190602039,3C147,190603022-190603031,3C286,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-06-10 10:57:02.004494,,,
1560179872.016900,190601059,LH_GRG,-,-,-,-,-,happili-01,-,2019-06-10 15:17:51.986488,"1 day, 4:01:03.651018",
1560188305.017200,190602049,LH_GRG,190602018-190602010,3C147,190602051-190603001,3C286,"1,2,3,4,5,6,7,8,9",happili-01,2019-06-10 17:38:24.849129,,,
1560238436.018400,190602049,LH_GRG,-,-,-,-,-,happili-03,-,2019-06-11 07:33:55.472710,22:13:01.959567,"B020: FAILED on line, B021: FAILED on line, B022: FAILED on continuum,line, B023: FAILED on line, B024: FAILED on line, B025: FAILED on line, B026: FAILED on line, B027: FAILED on line, B028: FAILED on line, B029: FAILED on continuum,line"
1560241638.018700,190602049,LH_GRG,-,-,-,-,-,happili-02,-,2019-06-11 08:27:17.873331,22:23:36.928772,"B010: FAILED on continuum,line, B011: FAILED on line, B012: FAILED on continuum,line, B013: FAILED on continuum,line, B014: FAILED on scal,continuum,line, B015: FAILED on line, B016: FAILED on line, B017: FAILED on continuum,line, B018: FAILED on line, B019: FAILED on line"
1560245436.019000,190608061,M1403+53,190608040-190608031,3C138,-,N/A,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-06-11 09:30:35.784102,,,
