_r,accref,mime,accsize,centerAlpha,centerDelta,imageTitle,instId,dateObs,nAxes,pixelSize,pixelScale,refFrame,wcs_equinox,wcs_projection,wcs_refPixel,wcs_refValues,wcs_cdmatrix,bandpassId,bandpassUnit,bandpassRefval,bandpassHi,bandpassLo,pixflags,coverage,target,obsid,related_products,valid,task_id,beam_number,freqMin,freqMax,n_channels,pub_did,pipeline_name,pipeline_version,sigma_in,sigma_out,R,maxneg,ex_2
,https://vo.astron.nl/getproduct/APERTIF_DR1/190807041_AP_B001/image_mf_02.fits,image/fits,37895040,208.360378733881,52.3613884370237,190807041_AP_B001,Apertif,58702.6901608794,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[208.359469 52.361944],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[211.048297119 50.5831193154 211.264004149 53.996220402 205.454933851 53.996220402 205.670640881 50.5831193154],m1403+5324,190807041,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190807041_AP_B001/image_mf_02.fits,True,190807041_AP_B001,1,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190807041_AP_B001/image_mf_02.fits,Apercal_150,v2.3-552-g5beb912,45.4,41.8,1.09,-1.0,150.0
,https://vo.astron.nl/getproduct/APERTIF_DR1/190807041_AP_B008/image_mf_02.fits,image/fits,37895040,208.723390329687,52.773804436674,190807041_AP_B008,Apertif,58702.6898287036,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[208.722472 52.77436],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[211.435153467 50.995685626 211.65617019 54.4086564137 205.78877381 54.4086564137 206.009790533 50.995685626],m1403+5324,190807041,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190807041_AP_B008/image_mf_02.fits,True,190807041_AP_B008,8,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190807041_AP_B008/image_mf_02.fits,Apercal_150,v2.3-552-g5beb912,41.5,37.6,1.1,-1.0,198.0
,https://vo.astron.nl/getproduct/APERTIF_DR1/190807041_AP_B015/image_mf_02.fits,image/fits,37892160,209.09346211597,53.185228436651,190807041_AP_B015,Apertif,58702.6903599538,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[209.092535 53.185784],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[211.829579922 51.4072443455 212.056069242 54.8200838549 206.129000758 54.8200838549 206.355490078 51.4072443455],m1403+5324,190807041,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190807041_AP_B015/image_mf_02.fits,True,190807041_AP_B015,15,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190807041_AP_B015/image_mf_02.fits,Apercal_150,v2.3-552-g5beb912,38.3,35.0,1.1,-1.0,177.0
,https://vo.astron.nl/getproduct/APERTIF_DR1/190807041_AP_B032/image_mf_02.fits,image/fits,37895040,213.040098916916,53.9889404366021,190807041_AP_B032,Apertif,58702.6920983796,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[213.039154 53.989496],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[215.82549666 52.2111752831 216.063213769 55.6237540056 210.015094231 55.6237540056 210.25281134 52.2111752831],m1403+5324,190807041,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190807041_AP_B032/image_mf_02.fits,True,190807041_AP_B032,32,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190807041_AP_B032/image_mf_02.fits,Apercal_150,v2.3-552-g5beb912,56.9,48.9,1.16,-1.0,384.0
,https://vo.astron.nl/getproduct/APERTIF_DR1/190807041_AP_B033/image_mf_02.fits,image/fits,37895040,208.640458219942,54.3939104365754,190807041_AP_B033,Apertif,58702.6906666667,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[208.639504 54.394466],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[211.451576842 52.616233212 211.695237111 56.0286780391 205.583770889 56.0286780391 205.827431158 52.616233212],m1403+5324,190807041,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190807041_AP_B033/image_mf_02.fits,True,190807041_AP_B033,33,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190807041_AP_B033/image_mf_02.fits,Apercal_150,v2.3-552-g5beb912,50.1,41.1,1.22,-1.0,494.0
,https://vo.astron.nl/getproduct/APERTIF_DR1/190807042_AP_B001/image_mf_02.fits,image/fits,37895040,27.0651786857808,30.4867964338087,190807042_AP_B001,Apertif,58703.1425312501,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[27.064534 30.487352],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[29.0101390912 28.6745574459 29.0795410646 32.0966858297 25.0495269354 32.0966858297 25.1189289088 28.6745574459],m0155+3130,190807042,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190807042_AP_B001/image_mf_02.fits,True,190807042_AP_B001,1,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190807042_AP_B001/image_mf_02.fits,Apercal_150,v2.3-552-g5beb912,55.1,49.2,1.12,-1.0,161.0
,https://vo.astron.nl/getproduct/APERTIF_DR1/190807042_AP_B003/image_mf_04.fits,image/fits,37892160,28.1509237536332,30.4969214331539,190807042_AP_B003,Apertif,58703.143986111,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[28.150279 30.497477],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[30.0960728626 28.6847155165 30.1655101161 32.1068363088 26.1350478839 32.1068363088 26.2044851374 28.6847155165],m0155+3130,190807042,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190807042_AP_B003/image_mf_04.fits,True,190807042_AP_B003,3,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190807042_AP_B003/image_mf_04.fits,Apercal_150,v2.3-552-g5beb912,38.8,34.1,1.14,-1.0,194.0
,https://vo.astron.nl/getproduct/APERTIF_DR1/190807042_AP_B006/image_mf_04.fits,image/fits,37892160,29.780211742065,30.4952334334817,190807042_AP_B006,Apertif,58703.1467199074,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[29.779567 30.495789],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[31.7253293846 28.6830220049 31.7947607553 32.1051440624 27.7643732447 32.1051440624 27.8338046154 28.6830220049],m0155+3130,190807042,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190807042_AP_B006/image_mf_04.fits,True,190807042_AP_B006,6,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190807042_AP_B006/image_mf_04.fits,Apercal_150,v2.3-552-g5beb912,51.1,41.9,1.22,-1.0,345.0
,https://vo.astron.nl/getproduct/APERTIF_DR1/190807042_AP_B008/image_mf_02.fits,image/fits,37892160,27.3300974194434,30.8952954341845,190807042_AP_B008,Apertif,58703.1433229167,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[27.32945 30.895851],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[29.2827488605 29.0843700873 29.3535865339 32.506197653 25.3053134661 32.506197653 25.3761511395 29.0843700873],m0155+3130,190807042,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190807042_AP_B008/image_mf_02.fits,True,190807042_AP_B008,8,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190807042_AP_B008/image_mf_02.fits,Apercal_150,v2.3-552-g5beb912,50.7,45.6,1.11,-1.0,147.0
,https://vo.astron.nl/getproduct/APERTIF_DR1/190807042_AP_B010/image_mf_02.fits,image/fits,37892160,28.4207144739701,30.9033014338574,190807042_AP_B010,Apertif,58703.1420277776,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[28.420067 30.903857],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[30.3735182479 29.0924014161 30.4443843137 32.514223196 26.3957496863 32.514223196 26.4666157521 29.0924014161],m0155+3130,190807042,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190807042_AP_B010/image_mf_02.fits,True,190807042_AP_B010,10,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190807042_AP_B010/image_mf_02.fits,Apercal_150,v2.3-552-g5beb912,40.3,33.4,1.21,-1.0,302.0
,https://vo.astron.nl/getproduct/APERTIF_DR1/190807042_AP_B011/image_mf_02.fits,image/fits,37892160,28.9661834786039,30.9038734332014,190807042_AP_B011,Apertif,58703.1403807872,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[28.965536 30.904429],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[30.9189981378 29.0929752251 30.9898662325 32.5147965918 26.9412057675 32.5147965918 27.0120738622 29.0929752251],m0155+3130,190807042,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190807042_AP_B011/image_mf_02.fits,True,190807042_AP_B011,11,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190807042_AP_B011/image_mf_02.fits,Apercal_150,v2.3-552-g5beb912,39.8,34.6,1.15,-1.0,202.0
,https://vo.astron.nl/getproduct/APERTIF_DR1/190807042_AP_B015/image_mf_02.fits,image/fits,37892160,27.5973732075325,31.3033864339022,190807042_AP_B015,Apertif,58703.1465081018,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[27.596723 31.303942],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[29.5578687768 29.4937322972 29.6301664196 32.915270126 25.5632795804 32.915270126 25.6355772232 29.4937322972],m0155+3130,190807042,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190807042_AP_B015/image_mf_02.fits,True,190807042_AP_B015,15,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190807042_AP_B015/image_mf_02.fits,Apercal_150,v2.3-552-g5beb912,45.7,40.0,1.14,-1.0,177.0
,https://vo.astron.nl/getproduct/APERTIF_DR1/190807042_AP_B023/image_mf_02.fits,image/fits,37892160,28.4171630704451,31.7139534336183,190807042_AP_B023,Apertif,58703.146209491,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[28.41651 31.714509],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[30.3857152949 29.9055383385 30.4595084864 33.3267949496 26.3735115136 33.3267949496 26.4473047051 29.9055383385],m0155+3130,190807042,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190807042_AP_B023/image_mf_02.fits,True,190807042_AP_B023,23,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190807042_AP_B023/image_mf_02.fits,Apercal_150,v2.3-552-g5beb912,37.3,30.6,1.22,-1.0,346.0
,https://vo.astron.nl/getproduct/APERTIF_DR1/190807042_AP_B033/image_mf_02.fits,image/fits,37892160,27.3038158332459,32.5159954343552,190807042_AP_B033,Apertif,58703.1452118056,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[27.303157 32.516551],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[29.2885949736 30.7098910689 29.3653902106 34.1306259524 25.2409237894 34.1306259524 25.3177190264 30.7098910689],m0155+3130,190807042,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190807042_AP_B033/image_mf_02.fits,True,190807042_AP_B033,33,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190807042_AP_B033/image_mf_02.fits,Apercal_150,v2.3-552-g5beb912,50.8,43.2,1.18,-1.0,281.0
,https://vo.astron.nl/getproduct/APERTIF_DR1/190807042_AP_B034/image_mf_02.fits,image/fits,37892160,27.8585918738175,32.5214764340277,190807042_AP_B034,Apertif,58703.1444675927,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[27.857933 32.522032],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[29.8434841661 30.7153873789 29.9203002961 34.136118816 25.7955657039 34.136118816 25.8723818339 30.7153873789],m0155+3130,190807042,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190807042_AP_B034/image_mf_02.fits,True,190807042_AP_B034,34,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190807042_AP_B034/image_mf_02.fits,Apercal_150,v2.3-552-g5beb912,44.7,37.6,1.19,-1.0,288.0
,https://vo.astron.nl/getproduct/APERTIF_DR1/190807042_AP_B038/image_mf_04.fits,image/fits,37883520,30.0784778559572,32.5190404340275,190807042_AP_B038,Apertif,58703.1460150462,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[30.077819 32.519596],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[32.0633198545 30.7129445752 32.1401266981 34.1336775439 28.0155113019 34.1336775439 28.0923181455 30.7129445752],m0155+3130,190807042,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190807042_AP_B038/image_mf_04.fits,True,190807042_AP_B038,38,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190807042_AP_B038/image_mf_04.fits,Apercal_150,v2.3-552-g5beb912,42.2,38.3,1.1,-1.0,156.0
,https://vo.astron.nl/getproduct/APERTIF_DR1/190808041_AP_B003/image_mf_01.fits,image/fits,37883520,345.988423753633,30.4969214331539,190808041_AP_B003,Apertif,58704.0650532409,4,[3073 3073 1 1],[0.00111111 0.00111111],ICRS,,NCP,[1537.0 1537.0],[345.987779 30.497477],[-0.00111111 0.0 0.0 0.00111111],,m,0.220233,0.234213,0.209645,Z,[347.933572863 28.6847155165 348.003010116 32.1068363088 343.972547884 32.1068363088 344.041985137 28.6847155165],s2306+3130,190808041,https://vo.astron.nl/apertif_dr1/q/related_products_continuum_images/dlmeta?ID=ivo%3A//astron.nl/%7E%3FAPERTIF_DR1/190808041_AP_B003/image_mf_01.fits,True,190808041_AP_B003,3,1280.0,1430.0,1,ivo://astron.nl/~?APERTIF_DR1/190808041_AP_B003/image_mf_01.fits,Apercal_150,v2.3-617-gbc7b929,40.5,35.5,1.14,-1.0,178.0
