taskid,beam,cont_pass,pol_pass,pol_V_pass,pol_QU_pass,HI_all_good,HI_all_good_ok,HI_c2_good_ok,HI_c2_good,HI_pass,all_pass,s_in,s_out,rat,N2,Ex-2,pol_s_in,pol_s_out,pol_rat,pol_N2,pol_Ex-2,pol_ftmax,pol_peak_in,pol_P2,pol_bmin,Q_bm_fg,U_bm_fg,Q_st_fg,U_st_fg,c2,c1,c0,rms_c2,rms_c1,rms_c0,lgfrac_c2,lgfrac_c1,lgfrac_c0,prom_c2,prom_c1,prom_c0,Field,ra,dec
190807041,1,True,True,True,True,False,False,False,False,False,False,45.4,41.8,1.09,1.4,150.0,42.5,42.0,1.01,1.1,967.0,4.6,642.7,1.0,1.3,0.08,0.08,0.08,0.08,B,O,O,0.0019483805,0.0019990697,0.0020391087,-4.339884,-4.76814,-4.815578,4.4481754,4.268581,4.288106,M1403+5324,208.29854702585615,52.38801899627
190807041,8,True,True,True,True,False,True,True,False,False,True,41.5,37.6,1.1,1.5,198.0,38.2,37.1,1.03,1.0,932.0,10.6,2190.1,1.0,0.6,0.08,0.08,0.12,0.08,O,O,O,0.0017327577,0.00176721,0.0017762658,-5.169144,-5.2031283,-5.2344112,4.2693577,4.295466,4.2542796,M1403+5324,208.69107825265655,52.79336699776
190807041,15,True,True,True,True,True,True,True,True,True,False,38.3,35.0,1.1,1.5,177.0,35.8,34.9,1.03,1.0,967.0,25.0,1490.1,1.1,0.2,0.08,0.08,0.08,0.08,G,G,G,0.0017149915,0.0016781248,0.0016142416,-6.0077558,-5.9844613,-5.995635,4.250154,4.2571154,4.228182,M1403+5324,209.08360947944016,53.198714999253
190807041,32,True,True,True,True,True,True,True,True,True,True,56.9,48.9,1.16,2.0,384.0,50.6,48.8,1.04,1.1,1034.0,11.1,1665.6,1.1,2.9,0.08,0.08,0.12,0.12,G,G,G,0.0022288342,0.0023236817,0.0024290588,-5.802613,-5.8301983,-5.802613,4.290756,4.2949276,4.2795854,M1403+5324,213.00892174734344,54.00941100224
190807041,33,True,True,True,True,True,True,True,True,True,False,50.1,41.1,1.22,2.3,494.0,39.2,38.4,1.02,1.0,964.0,4.8,2008.4,1.0,0.8,0.08,0.08,0.08,0.08,G,G,G,0.0017984929,0.001813209,0.0018453688,-5.932691,-6.061095,-6.0374265,4.2363515,4.222874,4.288024,M1403+5324,208.69107825265655,54.414759003730005
190807042,1,True,True,True,True,False,False,False,False,False,False,55.1,49.2,1.12,1.7,161.0,51.1,49.7,1.03,1.1,677.0,7.3,761.6,1.1,5.4,0.08,0.08,0.08,0.12,B,O,G,0.0022625548,0.0022870775,0.0023401857,-4.2839966,-5.3340964,-5.138192,4.5211763,4.2771077,4.3023095,M0155+3130,27.044834556857857,30.49912999627
190807042,3,True,True,True,True,True,True,True,True,True,False,38.8,34.1,1.14,1.8,194.0,34.3,34.3,1.0,1.0,610.0,4.3,234.4,1.0,3.7,0.08,0.08,0.08,0.08,G,G,G,0.0015350728,0.0015803918,0.0016383869,-5.922472,-5.908485,-5.957515,4.231762,4.252025,4.2694893,M0155+3130,28.14288529109981,30.49912999627
190807042,6,True,True,True,True,True,True,True,True,True,False,51.1,41.9,1.22,2.4,345.0,42.0,41.9,1.0,1.0,623.0,4.3,479.9,1.0,4.4,0.08,0.08,0.08,0.08,G,G,G,0.0018994948,0.0019875725,0.0020483038,-5.7850885,-5.9304795,-5.8657446,4.2790194,4.2926326,4.2563224,M0155+3130,29.7899613924598,30.49912999627
190807042,8,True,True,True,True,True,True,True,True,True,False,50.7,45.6,1.11,1.6,147.0,47.0,45.6,1.03,1.0,647.0,6.7,2237.6,1.0,4.6,0.08,0.08,0.08,0.08,G,G,G,0.0020810617,0.0020744244,0.0021732596,-5.609816,-5.677091,-5.9502764,4.3099055,4.3178887,4.2603626,M0155+3130,27.319347240424506,30.90447799776
190807042,10,True,True,True,True,False,True,True,False,False,False,40.3,33.4,1.21,2.2,302.0,35.9,34.2,1.05,1.2,762.0,5.5,806.1,1.2,6.4,0.08,0.08,0.08,0.08,O,O,O,0.0015184297,0.0015657473,0.0016221717,-4.8938127,-4.856499,-4.817953,4.296143,4.325442,4.271909,M0155+3130,28.417397974659416,30.90447799776
