ObsID,Name,Beam,RA,Dec,Pass,sigma_in,sigma_out,bmin,R,Ex-2,Neg10
190711169,S2152+4114,0,328.125000,41.240833,False,48.8,31.2,11.9,1.57,1139.0,7.0
190711169,S2152+4114,1,326.101994,40.227463,True,48.8,43.6,11.9,1.12,178.0,3.6
190711169,S2152+4114,2,326.724457,40.227463,True,47.3,38.7,12.3,1.22,394.0,4.3
190711169,S2152+4114,3,327.346921,40.227463,True,39.4,34.3,12.0,1.15,242.0,3.8
190711169,S2152+4114,4,327.969384,40.227463,False,57.5,37.5,11.0,1.54,1284.0,6.6
190711169,S2152+4114,5,328.591848,40.227463,True,35.5,30.9,12.0,1.15,238.0,3.8
190711169,S2152+4114,6,329.214311,40.227463,True,47.2,39.7,12.0,1.19,324.0,4.5
190711169,S2152+4114,7,329.836775,40.227463,True,65.8,57.3,12.4,1.15,293.0,5.0
190711169,S2152+4114,8,326.413225,40.632811,True,53.4,46.8,12.0,1.14,229.0,3.8
190711169,S2152+4114,9,327.035689,40.632811,True,55.2,49.3,12.0,1.12,239.0,4.3
190711169,S2152+4114,10,327.658152,40.632811,True,48.0,43.8,12.0,1.1,198.0,3.9
190711169,S2152+4114,11,328.280616,40.632811,False,68.2,55.9,12.4,1.22,344.0,5.1
190711169,S2152+4114,12,328.903079,40.632811,False,68.2,53.7,11.8,1.27,584.0,5.6
190711169,S2152+4114,13,329.525543,40.632811,False,84.6,71.2,12.0,1.19,368.0,5.0
190711169,S2152+4114,14,330.148006,40.632811,False,110.1,85.7,11.8,1.28,572.0,4.8
190711169,S2152+4114,15,326.724457,41.038159,True,52.7,48.0,12.0,1.1,162.0,3.7
190711169,S2152+4114,16,327.346921,41.038159,False,57.3,47.4,12.0,1.21,422.0,7.3
190711169,S2152+4114,17,327.969384,41.038159,False,82.2,57.2,11.8,1.44,891.0,8.1
190711169,S2152+4114,18,328.591848,41.038159,False,114.0,70.5,12.8,1.62,1058.0,7.8
190711169,S2152+4114,19,329.214311,41.038159,False,71.7,56.6,12.0,1.27,513.0,6.1
