ObsID,Name,Beam,RA,Dec,cube2_qual,cube1_qual,cube0_qual,sigma_c2,sigma_c1,sigma_c0,f_ex_c2,f_ex_c1,f_ex_c0,p_0.8_c2,p_0.8_c1,p_0.8_c0
190711169,S2152+4114,0,328.125000,41.240833,B,B,B,1.41,1.43,1.49,-4.02,-4.12,-4.22,3.99,4.00,4.00
190711169,S2152+4114,1,326.101994,40.227463,B,B,B,2.53,1.98,2.07,-2.52,-inf,-inf,6.28,3.85,3.88
190711169,S2152+4114,2,326.724457,40.227463,G,O,B,1.64,1.71,1.82,-5.51,-4.64,-4.30,3.88,3.89,3.94
190711169,S2152+4114,3,327.346921,40.227463,B,B,G,1.36,1.39,1.46,-inf,-inf,-7.82,3.84,3.85,3.87
190711169,S2152+4114,4,327.969384,40.227463,O,O,O,1.70,1.73,1.74,-5.20,-4.90,-5.06,3.88,3.89,3.91
190711169,S2152+4114,5,328.591848,40.227463,B,B,B,1.37,1.41,1.48,-inf,-inf,-inf,3.84,3.84,3.85
190711169,S2152+4114,6,329.214311,40.227463,B,B,B,1.71,1.79,1.87,-4.20,-4.27,-4.33,3.91,3.89,3.90
190711169,S2152+4114,7,329.836775,40.227463,B,B,B,2.15,2.28,2.41,-8.04,-8.04,-inf,3.88,3.88,3.85
190711169,S2152+4114,8,326.413225,40.632811,B,G,B,1.85,1.94,2.04,-inf,-8.04,-inf,3.85,3.85,3.83
190711169,S2152+4114,9,327.035689,40.632811,B,B,B,2.10,2.33,1.96,-4.40,-4.35,-4.38,4.96,5.18,4.96
190711169,S2152+4114,10,327.658152,40.632811,O,B,O,1.80,1.97,1.67,-4.85,-4.68,-4.76,4.61,4.98,4.49
190711169,S2152+4114,11,328.280616,40.632811,G,B,G,1.84,2.13,1.90,-6.51,-4.96,-6.05,4.25,4.85,4.24
190711169,S2152+4114,12,328.903079,40.632811,B,B,B,2.39,2.45,2.40,-4.24,-4.16,-4.49,4.10,4.12,4.01
190711169,S2152+4114,13,329.525543,40.632811,,,,,,,,,,,,
190711169,S2152+4114,14,330.148006,40.632811,B,B,B,3.73,4.87,3.39,-4.83,-3.67,-5.11,4.94,5.95,4.71
190711169,S2152+4114,15,326.724457,41.038159,G,B,O,1.97,2.10,2.03,-6.02,-5.44,-5.25,4.37,4.60,4.56
190711169,S2152+4114,16,327.346921,41.038159,B,B,B,2.02,2.23,1.89,-3.75,-3.88,-3.80,4.62,5.17,4.45
190711169,S2152+4114,17,327.969384,41.038159,B,B,B,2.69,2.84,2.64,-3.50,-3.53,-3.48,4.79,5.06,4.70
190711169,S2152+4114,18,328.591848,41.038159,B,B,B,2.62,3.01,2.87,-3.38,-3.55,-3.37,4.41,5.13,4.50
190711169,S2152+4114,19,329.214311,41.038159,B,B,B,2.38,2.49,2.10,-3.73,-3.87,-3.72,4.76,4.90,4.31
190711169,S2152+4114,20,329.836775,41.038159,B,B,B,2.19,2.55,2.14,-5.29,-4.31,-4.97,4.68,5.34,4.76
190711169,S2152+4114,21,326.413225,41.443507,G,G,G,1.82,1.79,1.82,-5.80,-6.76,-6.68,3.87,3.86,3.85
190711169,S2152+4114,22,327.035689,41.443507,G,B,B,1.49,1.53,1.57,-7.56,-inf,-inf,3.89,3.91,3.86
190711169,S2152+4114,23,327.658152,41.443507,B,B,B,2.16,2.39,2.00,-5.20,-4.61,-5.28,4.78,5.18,4.60
190711169,S2152+4114,24,328.280616,41.443507,B,B,B,2.42,2.83,2.22,-3.89,-3.84,-3.81,4.61,5.40,4.34
190711169,S2152+4114,25,328.903079,41.443507,B,B,B,1.91,2.38,1.92,-3.75,-3.65,-3.65,4.92,5.74,4.79
190711169,S2152+4114,26,329.525543,41.443507,G,G,G,1.46,1.53,1.61,-5.91,-7.56,-6.98,3.85,3.86,3.87
190711169,S2152+4114,27,326.724457,41.848855,G,G,G,1.53,1.54,1.58,-6.51,-8.04,-7.52,3.86,3.86,3.87
190711169,S2152+4114,28,327.346921,41.848855,G,B,B,1.37,1.38,1.42,-8.04,-inf,-inf,3.84,3.85,3.87
