ObsID,Name,Beam,RA,Dec,V valid,QU valid,sigma_in,sigma_out,FT_max,peak_inner,bmin,Q_beam_frac,U_beam_frac,Q_noise_frac,U_noise_frac
190711169,S2152+4114,0,328.125000,41.240833,False,True,75.9,35.9,7.2,1906.4,11.9,0.08,0.08,0.12,0.12
190711169,S2152+4114,1,326.101994,40.227463,True,True,44.5,43.7,9.0,528.1,11.9,0.08,0.08,0.12,0.17
190711169,S2152+4114,2,326.724457,40.227463,True,True,39.9,38.1,6.4,2341.7,12.3,0.08,0.08,0.12,0.12
190711169,S2152+4114,3,327.346921,40.227463,True,True,33.5,33.4,14.8,809.3,12.0,0.08,0.08,0.12,0.12
190711169,S2152+4114,4,327.969384,40.227463,False,False,292.2,46.1,7.4,41562.0,11.0,0.08,0.08,0.08,0.67
190711169,S2152+4114,5,328.591848,40.227463,True,True,36.5,30.8,4.5,3881.0,12.0,0.08,0.08,0.08,0.08
190711169,S2152+4114,6,329.214311,40.227463,True,True,40.8,39.3,7.4,1348.3,12.0,0.08,0.08,0.12,0.12
190711169,S2152+4114,7,329.836775,40.227463,True,True,58.5,56.4,9.0,2669.4,12.4,0.08,0.08,0.17,0.17
190711169,S2152+4114,8,326.413225,40.632811,True,True,46.8,47.1,4.8,600.2,12.0,0.08,0.08,0.12,0.12
190711169,S2152+4114,9,327.035689,40.632811,False,False,50.0,49.1,25.2,1285.3,12.0,0.08,0.08,0.33,0.21
190711169,S2152+4114,10,327.658152,40.632811,True,True,44.1,43.9,22.1,750.2,12.0,0.08,0.08,0.29,0.17
190711169,S2152+4114,11,328.280616,40.632811,False,False,60.1,58.8,60.6,985.7,12.4,0.25,0.25,0.38,0.17
190711169,S2152+4114,12,328.903079,40.632811,True,False,54.0,50.2,5.6,2180.8,11.8,0.08,0.08,0.58,0.12
190711169,S2152+4114,13,329.525543,40.632811,None,False,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0
190711169,S2152+4114,14,330.148006,40.632811,False,False,85.2,83.0,16.9,2651.0,11.8,0.08,0.08,0.79,0.46
190711169,S2152+4114,15,326.724457,41.038159,True,True,49.3,47.8,9.2,2240.1,12.0,0.08,0.08,0.29,0.21
190711169,S2152+4114,16,327.346921,41.038159,True,False,48.0,46.2,8.7,1298.8,12.0,0.08,0.08,0.46,0.17
190711169,S2152+4114,17,327.969384,41.038159,False,False,120.2,68.8,21.2,4375.8,11.8,0.08,0.08,0.75,0.17
190711169,S2152+4114,18,328.591848,41.038159,False,False,63.8,61.4,17.9,1583.5,12.8,0.67,0.67,0.54,0.29
190711169,S2152+4114,19,329.214311,41.038159,True,False,56.2,53.5,10.7,1825.5,12.0,0.08,0.08,0.58,0.21
190711169,S2152+4114,20,329.836775,41.038159,True,False,59.4,57.7,17.7,1142.8,12.0,0.08,0.08,0.54,0.17
190711169,S2152+4114,21,326.413225,41.443507,True,True,40.3,39.4,4.7,1825.8,11.9,0.08,0.08,0.08,0.08
190711169,S2152+4114,22,327.035689,41.443507,True,True,33.7,33.2,4.4,237.3,12.0,0.08,0.08,0.08,0.08
190711169,S2152+4114,23,327.658152,41.443507,True,False,46.4,45.5,11.2,509.6,11.9,0.08,0.08,0.42,0.17
190711169,S2152+4114,24,328.280616,41.443507,False,False,189.1,88.5,35.7,5174.8,11.9,0.08,0.08,0.75,0.25
190711169,S2152+4114,25,328.903079,41.443507,True,False,54.6,49.9,10.9,1054.0,12.1,0.08,0.08,0.38,0.17
190711169,S2152+4114,26,329.525543,41.443507,True,True,33.8,32.8,3.8,1262.5,12.0,0.08,0.08,0.12,0.08
190711169,S2152+4114,27,326.724457,41.848855,True,True,34.2,33.5,4.0,1095.7,12.0,0.08,0.08,0.08,0.08
190711169,S2152+4114,28,327.346921,41.848855,True,True,30.3,30.0,3.3,861.7,12.0,0.08,0.08,0.08,0.08
190711169,S2152+4114,29,327.969384,41.848855,True,False,56.4,54.8,9.6,1307.8,10.4,0.08,0.08,0.5,0.25
