ObsID,Name,Beam,RA,Dec,sigma_in,sigma_out,bmin,R,Ex-2,Neg10
190807041,M1403+5324,1,208.298547,52.388019,45.4,41.8,12.5,1.09,150.0,3.6
190807041,M1403+5324,8,208.691078,52.793367,41.5,37.6,12.5,1.1,198.0,3.8
190807041,M1403+5324,15,209.083609,53.198715,38.3,35.0,12.5,1.1,177.0,3.6
190807041,M1403+5324,32,213.008922,54.009411,56.9,48.9,12.4,1.16,384.0,4.1
190807041,M1403+5324,33,208.691078,54.414759,50.1,41.1,12.5,1.22,494.0,4.3
190807042,M0155+3130,1,27.044835,30.499130,55.1,49.2,10.6,1.12,161.0,3.7
190807042,M0155+3130,3,28.142885,30.499130,38.8,34.1,10.4,1.14,194.0,3.6
190807042,M0155+3130,6,29.789961,30.499130,51.1,41.9,10.4,1.22,345.0,4.6
190807042,M0155+3130,8,27.319347,30.904478,50.7,45.6,10.5,1.11,147.0,3.6
190807042,M0155+3130,10,28.417398,30.904478,40.3,33.4,10.6,1.21,302.0,4.2
190807042,M0155+3130,11,28.966423,30.904478,39.8,34.6,10.8,1.15,202.0,3.7
190807042,M0155+3130,15,27.593860,31.309826,45.7,40.0,10.4,1.14,177.0,3.8
190807042,M0155+3130,23,28.417398,31.715174,37.3,30.6,10.4,1.22,346.0,4.5
190807042,M0155+3130,33,27.319347,32.525870,50.8,43.2,10.4,1.18,281.0,4.1
190807042,M0155+3130,34,27.868373,32.525870,44.7,37.6,10.5,1.19,288.0,4.5
190807042,M0155+3130,38,30.064474,32.525870,42.2,38.3,10.5,1.1,156.0,3.6
190808041,S2306+3130,3,345.980385,30.499130,40.5,35.5,11.5,1.14,178.0,3.7
190808041,S2306+3130,4,346.529411,30.499130,42.1,37.2,11.5,1.13,175.0,3.6
190808041,S2306+3130,5,347.078436,30.499130,46.8,39.2,11.5,1.19,262.0,3.7
190808041,S2306+3130,8,345.156847,30.904478,54.4,46.8,11.4,1.16,243.0,3.8
190808041,S2306+3130,9,345.705873,30.904478,47.1,38.6,11.5,1.22,316.0,4.9
190808041,S2306+3130,10,346.254898,30.904478,39.7,33.3,11.5,1.19,288.0,4.1
190808041,S2306+3130,15,345.431360,31.309826,48.1,41.1,11.5,1.17,226.0,4.1
190808041,S2306+3130,18,347.078436,31.309826,43.8,36.9,11.5,1.19,301.0,5.0
190808041,S2306+3130,19,347.627461,31.309826,43.4,39.4,11.6,1.1,149.0,3.6
190808041,S2306+3130,20,348.176487,31.309826,46.9,42.4,11.5,1.11,138.0,3.5
190808041,S2306+3130,23,346.254898,31.715174,38.8,32.7,11.5,1.18,254.0,3.9
190808041,S2306+3130,24,346.803923,31.715174,44.6,36.8,11.5,1.21,327.0,4.3
190808041,S2306+3130,25,347.352949,31.715174,42.6,36.2,11.7,1.18,240.0,3.9
190808041,S2306+3130,26,347.901974,31.715174,44.3,38.7,11.7,1.14,185.0,3.7
190808041,S2306+3130,28,345.980385,32.120522,40.3,35.6,11.6,1.13,198.0,3.7
190808041,S2306+3130,29,346.529411,32.120522,36.6,32.6,11.5,1.12,173.0,3.6
190808041,S2306+3130,31,347.627461,32.120522,38.8,34.0,11.5,1.14,200.0,3.8
190808041,S2306+3130,33,345.156847,32.525870,54.8,45.7,11.5,1.2,322.0,4.7
190808041,S2306+3130,35,346.254898,32.525870,42.3,35.1,11.5,1.2,316.0,4.7
190808041,S2306+3130,38,347.901974,32.525870,46.0,40.7,11.6,1.13,183.0,3.7
190809041,S1421+5324,6,216.778026,52.388019,52.5,45.2,12.6,1.16,339.0,4.2
190809041,S1421+5324,19,216.778026,53.198715,39.4,35.3,12.8,1.12,191.0,3.6
190809041,S1421+5324,25,216.385495,53.604063,37.1,32.8,13.0,1.13,237.0,3.8
