ObsID,Name,Beam,RA,Dec,cube2_qual,cube1_qual,cube0_qual,sigma_c2,sigma_c1,sigma_c0,f_ex_c2,f_ex_c1,f_ex_c0,p_0.8_c2,p_0.8_c1,p_0.8_c0
190807041,M1403+5324,1,208.298547,52.388019,B,O,O,1.95,2.00,2.04,-4.34,-4.77,-4.82,4.45,4.27,4.29
190807041,M1403+5324,8,208.691078,52.793367,O,O,O,1.73,1.77,1.78,-5.17,-5.20,-5.23,4.27,4.30,4.25
190807041,M1403+5324,15,209.083609,53.198715,G,G,G,1.71,1.68,1.61,-6.01,-5.98,-6.00,4.25,4.26,4.23
190807041,M1403+5324,32,213.008922,54.009411,G,G,G,2.23,2.32,2.43,-5.80,-5.83,-5.80,4.29,4.29,4.28
190807041,M1403+5324,33,208.691078,54.414759,G,G,G,1.80,1.81,1.85,-5.93,-6.06,-6.04,4.24,4.22,4.29
190807042,M0155+3130,1,27.044835,30.499130,B,O,G,2.26,2.29,2.34,-4.28,-5.33,-5.14,4.52,4.28,4.30
190807042,M0155+3130,3,28.142885,30.499130,G,G,G,1.54,1.58,1.64,-5.92,-5.91,-5.96,4.23,4.25,4.27
190807042,M0155+3130,6,29.789961,30.499130,G,G,G,1.90,1.99,2.05,-5.79,-5.93,-5.87,4.28,4.29,4.26
190807042,M0155+3130,8,27.319347,30.904478,G,G,G,2.08,2.07,2.17,-5.61,-5.68,-5.95,4.31,4.32,4.26
190807042,M0155+3130,10,28.417398,30.904478,O,O,O,1.52,1.57,1.62,-4.89,-4.86,-4.82,4.30,4.33,4.27
190807042,M0155+3130,11,28.966423,30.904478,G,G,G,1.51,1.57,1.64,-5.85,-5.92,-6.00,4.29,4.25,4.28
190807042,M0155+3130,15,27.593860,31.309826,O,O,O,1.97,1.91,1.84,-4.66,-4.56,-4.59,4.31,4.30,4.31
190807042,M0155+3130,23,28.417398,31.715174,B,B,B,1.41,1.45,1.52,-4.11,-4.04,-4.07,4.27,4.26,4.25
190807042,M0155+3130,33,27.319347,32.525870,G,G,G,1.99,1.98,2.03,-5.99,-5.92,-6.11,4.22,4.26,4.24
190807042,M0155+3130,34,27.868373,32.525870,G,G,G,1.70,1.90,1.80,-5.54,-5.52,-5.46,4.28,4.26,4.33
190807042,M0155+3130,38,30.064474,32.525870,G,O,O,1.86,2.12,2.31,-5.56,-5.07,-4.64,4.34,4.47,4.72
190808041,S2306+3130,3,345.980385,30.499130,G,G,G,1.62,1.68,1.85,-6.01,-5.71,-5.64,4.23,4.28,4.30
190808041,S2306+3130,4,346.529411,30.499130,G,G,G,1.64,1.70,1.74,-5.85,-5.84,-5.59,4.30,4.31,4.34
190808041,S2306+3130,5,347.078436,30.499130,G,G,G,1.68,1.70,1.81,-5.58,-6.06,-5.84,4.31,4.24,4.26
190808041,S2306+3130,8,345.156847,30.904478,G,G,G,1.99,2.07,2.08,-5.92,-5.87,-5.68,4.24,4.27,4.34
190808041,S2306+3130,9,345.705873,30.904478,G,G,G,1.65,1.71,1.76,-5.93,-5.95,-5.70,4.24,4.25,4.32
190808041,S2306+3130,10,346.254898,30.904478,G,G,G,1.47,1.52,1.57,-6.00,-6.04,-5.72,4.23,4.27,4.31
190808041,S2306+3130,15,345.431360,31.309826,O,G,G,1.94,1.91,1.84,-5.25,-5.90,-5.69,4.29,4.25,4.29
190808041,S2306+3130,18,347.078436,31.309826,G,G,G,1.68,1.73,1.79,-5.97,-5.94,-5.76,4.29,4.27,4.31
190808041,S2306+3130,19,347.627461,31.309826,G,G,G,1.69,1.75,1.79,-5.79,-5.89,-5.36,4.30,4.26,4.38
190808041,S2306+3130,20,348.176487,31.309826,G,G,G,1.84,1.91,1.99,-5.79,-5.70,-5.45,4.29,4.30,4.37
190808041,S2306+3130,23,346.254898,31.715174,G,G,G,1.48,1.49,1.54,-5.66,-6.05,-5.82,4.25,4.25,4.33
190808041,S2306+3130,24,346.803923,31.715174,G,G,G,1.65,1.74,1.75,-6.15,-5.94,-5.90,4.19,4.28,4.23
190808041,S2306+3130,25,347.352949,31.715174,G,G,G,1.55,1.62,1.66,-5.89,-5.97,-5.63,4.25,4.22,4.31
190808041,S2306+3130,26,347.901974,31.715174,G,G,G,1.69,1.75,1.81,-6.02,-5.94,-5.41,4.18,4.24,4.33
190808041,S2306+3130,28,345.980385,32.120522,G,G,G,1.60,1.58,1.62,-5.86,-5.55,-5.77,4.24,4.30,4.27
190808041,S2306+3130,29,346.529411,32.120522,G,G,G,1.45,1.50,1.55,-6.04,-6.05,-5.75,4.23,4.22,4.28
190808041,S2306+3130,31,347.627461,32.120522,G,G,G,1.54,1.58,1.63,-5.96,-5.88,-5.79,4.27,4.33,4.32
190808041,S2306+3130,33,345.156847,32.525870,G,G,G,2.16,2.10,2.11,-5.98,-5.94,-5.53,4.25,4.26,4.33
190808041,S2306+3130,35,346.254898,32.525870,G,G,G,1.59,1.63,1.68,-6.01,-5.95,-5.66,4.27,4.28,4.30
190808041,S2306+3130,38,347.901974,32.525870,G,B,G,1.82,1.94,1.95,-5.83,-5.87,-4.10,4.31,4.31,4.87
190809041,S1421+5324,6,216.778026,52.388019,G,G,G,1.94,2.05,2.11,-5.88,-5.94,-5.58,4.26,4.28,4.31
190809041,S1421+5324,19,216.778026,53.198715,G,G,G,1.57,1.64,1.67,-5.83,-5.87,-5.58,4.26,4.26,4.33
190809041,S1421+5324,25,216.385495,53.604063,G,G,G,1.42,1.48,1.52,-5.95,-5.93,-5.86,4.25,4.25,4.28
190809041,S1421+5324,26,217.170558,53.604063,G,G,G,1.53,1.61,1.68,-6.18,-5.97,-5.72,4.17,4.22,4.26
190809042,M0155+3130,3,28.142885,30.499130,G,G,G,1.53,1.58,1.65,-5.96,-5.87,-5.87,4.22,4.23,4.24
190809042,M0155+3130,8,27.319347,30.904478,G,G,G,1.92,1.97,1.98,-5.93,-5.98,-5.94,4.22,4.30,4.28
190809042,M0155+3130,10,28.417398,30.904478,G,G,G,1.41,1.45,1.50,-5.95,-6.01,-5.88,4.30,4.23,4.24
190809042,M0155+3130,15,27.593860,31.309826,G,G,G,2.01,1.92,1.82,-5.95,-5.72,-5.88,4.27,4.29,4.25
190809042,M0155+3130,27,27.593860,32.120522,G,G,G,1.66,1.72,1.71,-6.05,-6.14,-6.02,4.20,4.23,4.20
