ObsID,Name,RA,Dec,Fluxcal,flux_first,flux_last,Polcal,pol_first,pol_last,Apercal_name,Apercal_version
190711169,S2152+4114,328.125000,41.240833,3C147,190712001,190712040,3C286,190711129,190711168,Apercal_300,v2.3-472-gc285853
190712041,M1403+5324,210.850000,53.401389,3C147,190712001,190712040,3C286,190713002,190713041,Apercal_300,v2.3-472-gc285853
190713001,M0155+3130,28.829167,31.512500,3C147,190712001,190712040,3C286,190713002,190713041,Apercal_300,v2.3-475-g6a44b02
190713042,S2323+2904,350.933333,29.080278,3C147,190714001,190714040,3C286,190713002,190713041,Apercal_300,v2.3-482-gfca1d02
190714041,S1444+5058,221.062500,50.969167,3C147,190714001,190714040,3C138,190715001,190715040,Apercal_300,v2.3-482-gfca1d02
190718124,S2146+4340,326.516667,43.673056,3C147,190719001,190719040,3C286,190718084,190718123,Apercal_300,v2.3-482-gfca1d02
190719041,S1242+5058,190.700000,50.969167,3C147,190719001,190719040,3C286,190720001,190720040,Apercal_300,v2.3-482-gfca1d02
190719042,M0155+3130,28.829167,31.512500,3C147,190719001,190719040,3C286,190720001,190720040,Apercal_300,v2.3-482-gfca1d02
190720041,S2336+2904,354.091667,29.080278,3C147,190721001,190721040,3C286,190720001,190720040,Apercal_300,v2.3-485-g741b84b
190721041,S1426+5058,216.725000,50.969167,3C147,190721001,190721040,3C286,190722002,190722041,Apercal_300,v2.3-485-g741b84b
190722001,M0208+3130,32.070833,31.512500,3C147,190721001,190721040,3C286,190722002,190722041,Apercal_300,v2.3-485-g741b84b
190725041,S1236+6041,189.229167,60.697500,3C147,190725001,190725040,3C286,190726001,190726040,Apercal_300,v2.3-485-g741b84b
190725042,M0155+3130,28.829167,31.512500,3C147,190725001,190725040,3C286,190726001,190726040,Apercal_300,v2.3-485-g741b84b
190726041,S2319+3130,349.908333,31.512500,3C147,190727001,190727040,3C286,190726001,190726040,Apercal_300,v2.3-487-gee2f4ce
190727041,S1439+5324,219.962500,53.401389,3C147,190727001,190727040,3C286,190728001,190728040,Apercal_300,v2.3-487-gee2f4ce
190727042,M0208+3356,32.162500,33.944444,3C147,190727001,190727040,3C286,190728001,190728040,Apercal_300,v2.3-487-gee2f4ce
190728041,S2258+2904,344.616667,29.080278,3C147,190727001,190727040,3C286,190728001,190728040,Apercal_300,v2.3-487-gee2f4ce
190731125,S2227+3130,336.937500,31.512500,3C147,190801001,190801040,3C286,190731085,190731124,None,None
190806345,S2311+2904,347.775000,29.080278,3C147,190807001,190807040,3C286,190808001,190808040,Apercal_150,v2.3-552-g5beb912
190807041,M1403+5324,210.850000,53.401389,3C147,190807001,190807040,3C286,190808001,190808040,Apercal_150,v2.3-552-g5beb912
190807042,M0155+3130,28.829167,31.512500,3C147,190807001,190807040,3C286,190808001,190808040,Apercal_150,v2.3-552-g5beb912
190808041,S2306+3130,346.666667,31.512500,3C147,190809001,190809040,3C286,190808001,190808040,Apercal_150,v2.3-617-gbc7b929
190809041,S1421+5324,215.404167,53.401389,3C147,190809001,190809040,3C286,190810001,190810040,Apercal_150,v2.3-617-gbc7b929
190809042,M0155+3130,28.829167,31.512500,3C147,190809001,190809040,3C286,190810001,190810040,Apercal_150,v2.3-617-gbc7b929
190810041,S2253+3130,343.420833,31.512500,3C147,190811001,190811040,3C286,190810001,190810040,Apercal_150,v2.3-617-gbc7b929
190811041,S1409+5058,212.387500,50.969167,3C147,190811001,190811040,3C138,190812001,190812040,Apercal_150,v2.3-617-gbc7b929
190822046,S1025+5550,156.350000,55.833333,3C147,190822006,190822045,3C138,190823001,190823040,Apercal_150,v2.3-617-gbc7b929
190822047,S2204+3848,331.012500,38.808889,3C147,190822006,190822045,3C138,190823001,190823040,Apercal_150,v2.3-617-gbc7b929
190823041,S1258+6041,194.683333,60.697500,3C196,190824001,190824035,3C138,190823001,190823035,Apercal_150,v2.3-617-gbc7b929
190823042,M0155+3130,28.829167,31.512500,3C196,190824001,190824035,3C138,190823001,190823035,Apercal_150,v2.3-617-gbc7b929
190824041,S2154+4606,328.725000,46.105000,3C196,190824001,190824035,3C138,190825001,190825035,Apercal_150,v2.3-617-gbc7b929
190906044,S1025+5550,156.350000,55.833333,3C147,190906004,190906043,3C138,190907001,190907040,Apercal_150_ACF,v2.5-5-g504d478
190906045,S2204+3848,331.012500,38.808889,3C147,190906004,190906043,3C138,190907001,190907040,Apercal_150_ACF,v2.5-5-g504d478
190907041,S1342+6041,205.591667,60.697500,3C196,190908001,190908040,3C138,190907001,190907040,Apercal_150_ACF,v2.5-5-g504d478
190907042,M0155+3130,28.829167,31.512500,3C196,190908001,190908040,3C138,190907001,190907040,Apercal_150_ACF,v2.5-5-g504d478
190908041,S2201+4340,330.304167,43.673056,3C196,190908001,190908040,3C138,190909001,190909040,Apercal_150_ACF,v2.5-5-g504d478
190913045,M1403+5324,210.850000,53.401389,3C147,190913005,190913044,3C286,190914001,190914040,Apercal_150,v2.3-579-gb5609f7
190913046,M0155+3130,28.829167,31.512500,3C147,190913005,190913044,3C286,190914001,190914040,Apercal_150,v2.3-579-gb5609f7
190914041,S2332+3130,353.150000,31.512500,3C147,190915001,190915040,3C286,190914001,190914040,Apercal_150_ACF,v2.5-5-g504d478
190915041,S1435+5550,218.750000,55.833333,3C147,190915001,190915040,3C286,190916001,190916040,Apercal_150_ACF,v2.5-5-g504d478
190915042,M0209+3622,32.254167,36.376667,3C147,190915001,190915040,3C286,190916001,190916040,Apercal_150_ACF,v2.5-5-g504d478
190919048,S1305+5815,196.462500,58.265556,3C147,190919008,190919047,3C286,190920001,190920040,Apercal_150_ACF,v2.5-5-g504d478
190919049,M0155+3356,28.829167,33.944444,3C147,190919008,190919047,3C286,190920001,190920040,Apercal_150_ACF,v2.5-5-g504d478
190920041,S2345+3130,356.395833,31.512500,3C147,190921001,190921040,3C286,190920001,190920040,Apercal_150_ACF,v2.5-5-g504d478
190921041,S1454+5550,223.550000,55.833333,3C147,190921001,190921040,3C286,190922001,190922040,Apercal_150_ACF,v2.5-5-g504d478
190921042,S0218+3848,34.541667,38.808889,3C147,190921001,190921040,3C286,190922001,190922040,Apercal_150_ACF,v2.5-5-g504d478
190922041,S2240+3130,340.179167,31.512500,3C147,190923001,190923040,3C286,190922001,190922040,Apercal_150_ACF,v2.5-5-g504d478
191003042,S1102+5815,165.604167,58.265556,3C147,191003002,191003041,3C138,191004001,191004040,Apercal_150_ACF,v2.5-5-g504d478
191003043,S2235+3356,338.829167,33.944444,3C147,191003002,191003041,3C138,191004001,191004040,Apercal_150_ACF,v2.5-5-g504d478
191004041,S1346+5815,206.745833,58.265556,3C196,191005001,191005040,3C138,191004001,191004040,Apercal_150_ACF,v2.5-5-g504d478
191004042,M0155+3130,28.829167,31.512500,3C196,191005001,191005040,3C138,191004001,191004040,Apercal_150,v2.3-618-ga8820cf
191005041,S2207+4114,331.762500,41.240833,3C196,191005001,191005040,3C138,191006001,191006040,Apercal_150_ACF,v2.5-5-g504d478
191006041,S1259+5550,194.750000,55.833333,3C196,191005001,191005040,3C138,191006001,191006040,Apercal_150_ACF,v2.5-6-g80a4300
191006058,M0155+3130,28.829167,31.512500,3C196,191005001,191005040,3C138,191006001,191006040,Apercal_150_ACF,v2.5-6-g80a4300
191009038,S1041+5058,160.337500,50.969167,3C147,191008195,191009037,3C138,191010001,191010040,Apercal_150_ACF_CDF,v2.5-7-gc408fcf
191009039,S2221+3356,335.495833,33.944444,3C147,191008195,191009037,3C138,191010001,191010040,Apercal_150_ACF_CDF,v2.5-7-gc408fcf
191010041,M1403+5324,210.850000,53.401389,3C147,191011001,191011040,3C138,191010001,191010040,Apercal_150_ACF_CDF,v2.5-7-gc408fcf
191010042,M0142+3130,25.583333,31.512500,3C147,191011001,191011040,3C138,191010001,191010040,Apercal_150_ACF,v2.5-1-g31cc003
191011041,S2210+4606,332.679167,46.105000,3C147,191011001,191011040,3C138,191012001,191012040,Apercal_150_ACF_CDF,v2.5-7-gc408fcf
191012041,S1318+5550,199.550000,55.833333,3C147,191013001,191013040,3C138,191012001,191012040,Apercal_150_ACF_CDF,v2.5-7-gc408fcf
191012042,M0141+3356,25.495833,33.944444,3C147,191013001,191013040,3C138,191012001,191012040,Apercal_150_ACF_CDF,v2.5-7-gc408fcf
191013041,S2215+3622,333.970833,36.376667,3C147,191013001,191013040,3C138,191014001,191014040,Apercal_150_ACF_CDF,v2.5-7-gc408fcf
191014041,S1320+6041,200.137500,60.697500,3C147,191014056,191015027,3C138,191014001,191014040,Apercal_150_ACF_CDF_BPF,v2.5-48-g95b1efc
191024043,S1402+3622,210.541667,36.376667,3C147,191024003,191024042,3C286,191025001,191025040,Apercal_150_ACF_CDF_BPF,v2.5-311-g38cc852
191024044,M0155+3622,28.829167,36.376667,3C147,191024003,191024042,3C286,191025001,191025040,Apercal_150_ACF_CDF_BPF,v2.5-311-g38cc852
191025081,M0155+3622,28.829167,36.376667,3C295,191025041,191025080,3C138,191027003,191027042,Apercal_150_ACF_CDF_BPF,v2.5-49-ge221ce7
191026001,S1408+3356,212.162500,33.944444,3C295,191025041,191025080,3C138,191027003,191027042,Apercal_150_ACF_CDF_BPF,v2.5-49-ge221ce7
191027043,S1401+3130,210.450000,31.512500,3C147,191028001,191028040,3C138,191027003,191027042,Apercal_150_ACF_CDF_BPF,v2.5-48-g95b1efc
191027044,M0155+3622,28.829167,36.376667,3C147,191028001,191028040,3C138,191027003,191027042,Apercal_150_ACF_CDF_BPF,v2.5-49-ge221ce7
191031242,M0155+3622,28.829167,36.376667,3C295,191031202,191031241,3C286,191101001,191101040,Apercal_150_ACF_CDF_BPF,v2.5-311-g38cc852
191101041,M0155+3622,28.829167,36.376667,3C147,191102002,191103032,3C286,191101001,191101040,Apercal_150_ACF_CDF_BPF,v2.5-62-gde547b9
191102001,M1403+5324,210.850000,53.401389,3C147,191102002,191103032,3C286,191101001,191101040,Apercal_150_ACF_CDF_BPF,v2.5-67-g130c637
191103033,S1414+3130,213.691667,31.512500,3C147,191102002,191103032,3C286,191104001,191104040,Apercal_150_ACF_CDF_BPF,v2.5-67-g130c637
191103034,M0155+3622,28.829167,36.376667,3C147,191102002,191103032,3C286,191104001,191104040,Apercal_150_ACF_CDF_BPF,v2.5-71-gde1f48e
191113139,M0155+3622,28.829167,36.376667,3C196,191114001,191114040,3C138,191114042,191115039,Apercal_150_ACF_CDF_BPF,v2.5-76-g66b020a
191114041,S2216+4340,334.095833,43.673056,3C196,191114001,191114040,3C138,191114042,191115039,Apercal_150_ACF_CDF_BPF,v2.5-78-g1455579
191115040,M1304+2904,196.195833,29.080278,3C196,191116001,191116040,3C138,191114042,191115039,Apercal_150_ACF_CDF_BPF,v2.5-78-g1455579
191115041,M0155+3622,28.829167,36.376667,3C196,191116001,191116040,3C138,191114042,191115039,Apercal_150_ACF_CDF_BPF,v2.5-78-g1455579
191116041,S2218+3848,334.541667,38.808889,3C196,191116001,191116040,3C138,191116042,191117037,Apercal_150_ACF_CDF_BPF,v2.5-286-g17712e3
191117038,M1317+2904,199.354167,29.080278,3C196,191118001,191118040,3C138,191116042,191117037,Apercal_150_ACF_CDF_BPF,v2.5-286-g17712e3
191117039,M0155+3622,28.829167,36.376667,3C196,191118001,191118040,3C138,191116042,191117037,Apercal_150_ACF_CDF_BPF,v2.5-286-g17712e3
191120096,M0155+3622,28.829167,36.376667,3C196,191121001,191121040,3C138,191121047,191122034,Apercal_150_ACF_CDF_BPF,v2.5-286-g17712e3
191121046,S2221+4114,335.395833,41.240833,3C196,191121001,191121040,3C138,191121047,191122034,Apercal_150_ACF_CDF_BPF,v2.5-286-g17712e3
191122035,M1309+3130,197.475000,31.512500,3C196,191123001,191123040,3C138,191121047,191122034,Apercal_150_ACF_CDF_BPF,v2.5-286-g17712e3
191122036,M0209+3622,32.254167,36.376667,3C196,191123001,191123040,3C138,191121047,191122034,Apercal_150_ACF_CDF_BPF,v2.5-286-g17712e3
191123047,S2229+3622,337.400000,36.376667,3C196,191123001,191123040,3C138,191123048,191124034,Apercal_150_ACF_CDF_BPF,v2.5-286-g17712e3
191124035,M1330+2904,202.512500,29.080278,3C196,191125001,191125040,3C138,191123048,191124034,Apercal_150_ACF_CDF_BPF,v2.5-286-g17712e3
191124036,M0209+3622,32.254167,36.376667,3C196,191125001,191125040,3C138,191123048,191124034,Apercal_150_ACF_CDF_BPF,v2.5-286-g17712e3
191125047,S2232+3848,338.070833,38.808889,3C196,191125001,191125040,3C138,191125048,191126033,Apercal_150_ACF_CDF_BPF,v2.5-286-g17712e3
191207034,M1403+5324,210.850000,53.401389,3C196,191208001,191208040,3C138,191206155,191207033,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191207035,M0155+3356,28.829167,33.944444,3C196,191208001,191208040,3C138,191206155,191207033,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191208041,S2236+4114,339.033333,41.240833,3C196,191208001,191208040,3C138,191208042,191209024,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191209025,M1342+2904,205.670833,29.080278,3C147,191210001,191210040,3C138,191208042,191209024,Apercal_150_ACF_CDF_BPF,v2.5-311-g38cc852
191209026,S0129+3130,22.341667,31.512500,3C147,191210001,191210040,3C138,191208042,191209024,Apercal_150_ACF,v2.5-1-g31cc003
191218226,S1021+5815,155.320833,58.265556,3C147,191218186,191218225,3C138,191219002,191220016,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191219001,S2243+3622,340.829167,36.376667,3C147,191218186,191218225,3C138,191219002,191220016,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191220017,M1322+3130,200.720833,31.512500,3C147,191221001,191221040,3C138,191219002,191220016,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191220018,M0141+3622,25.400000,36.376667,3C147,191221001,191221040,3C138,191219002,191220016,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191221041,S1629+5324,247.304167,53.401389,3C147,191221001,191221040,3C138,191221042,191221081,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191221082,S1109+6041,167.408333,60.697500,3C147,191222002,191223020,3C138,191221042,191221081,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191222001,S2301+3356,345.495833,33.944444,3C147,191222002,191223020,3C138,191221042,191221081,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191223021,S1409+5058,212.387500,50.969167,3C147,191222002,191223020,3C286,191224001,191224040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191223022,M0155+3356,28.829167,33.944444,3C147,191222002,191223020,3C286,191224001,191224040,Apercal_150_ACF,v2.5-5-g504d478
191224041,S2246+3848,341.600000,38.808889,3C147,191224042,191225013,3C286,191224001,191224040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191225014,M1335+3130,203.962500,31.512500,3C147,191224042,191225013,3C286,191226001,191226040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191225015,M0155+3356,28.829167,33.944444,3C147,191224042,191225013,3C286,191226001,191226040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191226041,S2250+4114,342.670833,41.240833,3C147,191226042,191227012,3C286,191226001,191226040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191227013,M1348+3130,207.204167,31.512500,3C147,191226042,191227012,3C286,191228001,191228040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191227014,M0155+3356,28.829167,33.944444,3C147,191226042,191227012,3C286,191228001,191228040,Apercal_150_ACF_CDF_BPF,v2.5-311-g38cc852
191228041,S2257+3622,344.254167,36.376667,3C147,191228042,191229012,3C286,191228001,191228040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191229013,S1352+5058,208.050000,50.969167,3C147,191228042,191229012,3C286,191230001,191230040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191229014,M0155+3356,28.829167,33.944444,3C147,191228042,191229012,3C286,191230001,191230040,Apercal_150_ACF,v2.5-5-g504d478
191230041,S2300+3848,345.129167,38.808889,3C147,191230042,191231011,3C286,191230001,191230040,Apercal_150_ACF_CDF_BPF,v2.5-311-g38cc852
191231012,S1345+5324,206.291667,53.401389,3C147,191230042,191231011,3C286,200101001,200101040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
191231013,M0155+3356,28.829167,33.944444,3C147,191230042,191231011,3C286,200101001,200101040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200101041,S2301+4340,345.462500,43.673056,3C147,200101042,200102010,3C286,200101001,200101040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200102011,S1356+5550,209.150000,55.833333,3C147,200101042,200102010,3C286,200103001,200103040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200102012,M0155+3356,28.829167,33.944444,3C147,200101042,200102010,3C286,200103001,200103040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200103041,S2305+4114,346.304167,41.240833,3C147,200103042,200104009,3C286,200103001,200103040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200104010,S1407+5815,211.891667,58.265556,3C147,200103042,200104009,3C286,200105001,200105040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200104011,M0155+3356,28.829167,33.944444,3C147,200103042,200104009,3C286,200105001,200105040,Apercal_150_ACF,v2.5-5-g504d478
200105041,S2310+3622,347.683333,36.376667,3C147,200105042,200106008,3C286,200105001,200105040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200106009,M1403+5324,210.850000,53.401389,3C147,200105042,200106008,3C286,200107001,200107040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200106010,M0155+3356,28.829167,33.944444,3C147,200105042,200106008,3C286,200107001,200107040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200108171,S1026+6041,156.500000,60.697500,3C147,200108131,200108170,3C138,200109002,200110006,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200109001,S2315+3356,348.829167,33.944444,3C147,200108131,200108170,3C138,200109002,200110006,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200110007,S1415+5550,213.950000,55.833333,3C196,200111001,200111040,3C138,200109002,200110006,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200110008,M0209+3622,32.254167,36.376667,3C196,200111001,200111040,3C138,200109002,200110006,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200111041,S2314+3848,348.658333,38.808889,3C196,200111001,200111040,3C138,200111042,200112005,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200112006,S1404+6041,211.045833,60.697500,3C196,200112008,200113039,3C138,200111042,200112005,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200112007,M0209+3622,32.254167,36.376667,3C196,200112008,200113039,3C138,200111042,200112005,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200113040,S2314+4606,348.504167,46.105000,3C196,200112008,200113039,3C138,200113041,200114003,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200122050,S1334+5058,203.712500,50.969167,3C147,200122010,200122049,3C286,200124001,200124040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200123001,S0214+4114,33.579167,41.240833,3C147,200122010,200122049,3C286,200124001,200124040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200124041,S2317+4340,349.254167,43.673056,3C147,200124042,200124081,3C286,200124001,200124040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200124082,S1426+6041,216.500000,60.697500,3C147,200124042,200124081,3C286,200126001,200126040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200125001,S0218+4340,34.729167,43.673056,3C147,200124042,200124081,3C286,200126001,200126040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200126041,S2319+4114,349.941667,41.240833,3C147,200126042,200126081,3C286,200126001,200126040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200126082,S1428+5815,217.033333,58.265556,3C147,200126042,200126081,3C286,200126001,200126040,Apercal_150_ACF_CDF_BPF,v2.5-311-g38cc852
200128124,M1403+5324,210.850000,53.401389,3C147,200128084,200128123,3C286,200130001,200130040,Apercal_150_ACF_CDF_BPF,v2.5-47-g724fc94
200129001,M0209+3622,32.254167,36.376667,3C147,200128084,200128123,3C286,200130001,200130040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200130106,S1448+5815,222.175000,58.265556,3C147,200130066,200130105,3C286,200201001,200201040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200131001,M0209+3622,32.254167,36.376667,3C147,200130066,200130105,3C286,200201001,200201040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
