ObsID,Name,Beam,RA,Dec,V valid,QU valid,sigma_in,sigma_out,FT_max,peak_inner,bmin,Q_beam_frac,U_beam_frac,Q_noise_frac,U_noise_frac
190807041,M1403+5324,1,208.298547,52.388019,True,True,42.5,42.0,4.6,642.7,12.5,0.08,0.08,0.08,0.08
190807041,M1403+5324,8,208.691078,52.793367,True,True,38.2,37.1,10.6,2190.1,12.5,0.08,0.08,0.12,0.08
190807041,M1403+5324,15,209.083609,53.198715,True,True,35.8,34.9,25.0,1490.1,12.5,0.08,0.08,0.08,0.08
190807041,M1403+5324,32,213.008922,54.009411,True,True,50.6,48.8,11.1,1665.6,12.4,0.08,0.08,0.12,0.12
190807041,M1403+5324,33,208.691078,54.414759,True,True,39.2,38.4,4.8,2008.4,12.5,0.08,0.08,0.08,0.08
190807042,M0155+3130,1,27.044835,30.499130,True,True,51.1,49.7,7.3,761.6,10.6,0.08,0.08,0.08,0.12
190807042,M0155+3130,3,28.142885,30.499130,True,True,34.3,34.3,4.3,234.4,10.4,0.08,0.08,0.08,0.08
190807042,M0155+3130,6,29.789961,30.499130,True,True,42.0,41.9,4.3,479.9,10.4,0.08,0.08,0.08,0.08
190807042,M0155+3130,8,27.319347,30.904478,True,True,47.0,45.6,6.7,2237.6,10.5,0.08,0.08,0.08,0.08
190807042,M0155+3130,10,28.417398,30.904478,True,True,35.9,34.2,5.5,806.1,10.6,0.08,0.08,0.08,0.08
190807042,M0155+3130,11,28.966423,30.904478,True,True,35.4,34.8,4.3,1241.6,10.8,0.08,0.08,0.08,0.08
190807042,M0155+3130,15,27.593860,31.309826,True,True,42.0,40.6,3.5,1638.6,10.4,0.08,0.08,0.08,0.08
190807042,M0155+3130,23,28.417398,31.715174,True,True,32.9,31.1,3.9,720.0,10.4,0.08,0.08,0.08,0.08
190807042,M0155+3130,33,27.319347,32.525870,False,True,44.7,43.5,27.6,1977.3,10.4,0.08,0.08,0.08,0.08
190807042,M0155+3130,34,27.868373,32.525870,True,True,38.5,37.6,5.4,1780.8,10.5,0.08,0.08,0.08,0.08
190807042,M0155+3130,38,30.064474,32.525870,True,True,38.6,38.6,3.1,810.4,10.5,0.08,0.08,0.08,0.08
190808041,S2306+3130,3,345.980385,30.499130,True,True,35.5,35.6,3.3,292.2,11.5,0.08,0.08,0.08,0.08
