taskID,name,field_ra,field_dec,telescopes,duration,quality,beamPattern,fluxcal,flux_first,flux_last,polcal,pol_first,pol_last,apercal_version,apercal_name
190711169,S2152+4114,328.125,41.240833,23456789ABCD,41400,good,square_39p1,3C147,190712001,190712040,3C286,190711138,190711159,v2.3-472-gc285853,300 MHz
190712041,M1403+5324,210.85,53.401389,23456789ABCD,41400,good,square_39p1,3C147,190712010,190712031,3C286,190713002,190713041,v2.3-472-gc285853,300 MHz
190713001,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1,3C147,190712010,190712031,3C286,190713002,190713041,v2.3-475-g6a44b02,300 MHz
190713042,S2323+2904,350.933333,29.080278,23456789ABCD,41400,good,square_39p1,3C147,190714001,190714040,3C286,190713011,190713032,v2.3-482-gfca1d02,300 MHz
190714041,S1444+5058,221.0625,50.969167,23456789ABCD,41400,good,square_39p1,3C147,190714010,190714031,3C138,190715001,190715040,v2.3-482-gfca1d02,300 MHz
190718124,S2146+4340,326.516667,43.673056,23456789ABCD,41400,good,square_39p1,3C147,190719001,190719040,3C286,190718093,190718114,v2.3-482-gfca1d02,300 MHz
190719041,S1242+5058,190.7,50.969167,23456789ABCD,41400,good,square_39p1,3C147,190719010,190719031,3C286,190720001,190720040,v2.3-482-gfca1d02,300 MHz
190719042,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1,3C147,190719010,190719031,3C286,190720001,190720040,v2.3-482-gfca1d02,300 MHz
190720041,S2336+2904,354.091667,29.080278,23456789ABCD,41400,good,square_39p1,3C147,190721001,190721040,3C286,190720010,190720031,v2.3-485-g741b84b,300 MHz
190721041,S1426+5058,216.725,50.969167,23456789ABCD,41400,good,square_39p1,3C147,190721010,190721031,3C286,190722002,190722041,v2.3-485-g741b84b,300 MHz
190722001,M0208+3130,32.070833,31.5125,23456789ABCD,41400,good,square_39p1,3C147,190721010,190721031,3C286,190722002,190722041,v2.3-485-g741b84b,300 MHz
190725041,S1236+6041,189.229167,60.6975,23456789ABCD,41400,good,square_39p1,3C147,190725010,190725031,3C286,190726001,190726040,v2.3-485-g741b84b,300 MHz
190725042,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1,3C147,190725010,190725031,3C286,190726001,190726040,v2.3-485-g741b84b,300 MHz
190726041,S2319+3130,349.908333,31.5125,23456789ABCD,41400,good,square_39p1,3C147,190727001,190727040,3C286,190726010,190726031,v2.3-487-gee2f4ce,300 MHz
190727041,S1439+5324,219.9625,53.401389,23456789ABCD,41400,good,square_39p1,3C147,190727010,190727031,3C286,190728001,190728040,v2.3-487-gee2f4ce,300 MHz
190727042,M0208+3356,32.1625,33.944444,23456789ABCD,41400,good,square_39p1,3C147,190727010,190727031,3C286,190728001,190728040,v2.3-487-gee2f4ce,300 MHz
190728041,S2258+2904,344.616667,29.080278,23456789ABCD,41400,good,square_39p1,3C286,None,None,0.0,None,None,v2.3-487-gee2f4ce,300 MHz
190731125,S2227+3130,336.9375,31.5125,23456789ABCD,41400,good,square_39p1,0.0,None,None,0.0,None,None,None,None
190806345,S2311+2904,347.775,29.080278,23456789ABCD,41400,good,square_39p1,3C147,None,None,0.0,None,None,v2.3-552-g5beb912,150 MHz
190807041,M1403+5324,210.85,53.401389,23456789ABCD,41400,good,square_39p1,3C147,190807010,190807031,3C286,190808001,190808040,v2.3-552-g5beb912,150 MHz
190807042,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1,3C147,190807010,190807031,3C286,190808001,190808040,v2.3-552-g5beb912,150 MHz
